Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Tiepo,br BRA,GK,20.0,25.0,39,4,1,5,1,39.3,0.27,1.3,0.05,176,418,42.1,456,108,48.7,37.7,263,74.5,49.1,413,21,5.1,6,0.24,9.6,Matches
João Ricardo Riedi,br BRA,GK,30.0,13.0,13,2,1,3,0,21.8,0.29,8.8,0.68,103,237,43.5,264,61,56.1,41.1,131,67.9,49.5,217,7,3.2,5,0.38,10.8,Matches
Squad Total,,,28.8,38.0,52,6,2,8,1,61.1,0.28,10.1,0.27,279,655,42.6,716,169,51.1,,398,72.6,49.4,630,28,4.4,11,0.29,,
Opponent Total,,,27.2,38.0,31,4,0,6,0,37.7,0.23,6.7,0.18,134,334,40.1,640,146,30.8,31.7,306,44.8,38.7,612,25,4.1,36,0.95,14.1,
