Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2016-05-15,18:30,Série A,Matchweek 1,Sun,Away,D,0,0,Internacional,31.0,18219.0,,4-3-3,4-2-3-1,Nielson Nogueira Dias,Match Report,
2016-05-22,16:00,Série A,Matchweek 2,Sun,Home,W,3,1,América (MG),61.0,2057.0,,4-3-2-1,3-4-3,Eduardo Tomaz De Aquino Valadão,Match Report,
2016-05-25,21:00,Série A,Matchweek 3,Wed,Away,D,2,2,Flamengo,38.0,2705.0,,4-3-2-1,4-2-3-1,Diego Almeida Real,Match Report,
2016-05-28,21:00,Série A,Matchweek 4,Sat,Home,D,1,1,Santa Cruz,65.0,4734.0,,4-3-2-1,4-2-3-1,Rafael Traci,Match Report,
2016-06-01,21:00,Série A,Matchweek 5,Wed,Away,W,4,3,Coritiba,49.0,2852.0,,4-2-3-1,4-2-3-1,Pablo Dos Santos Alves,Match Report,
2016-06-04,20:30,Série A,Matchweek 6,Sat,Home,D,0,0,Fluminense,46.0,5817.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2016-06-11,16:00,Série A,Matchweek 7,Sat,Away,L,1,2,Ponte Preta,40.0,3826.0,,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,
2016-06-15,19:30,Série A,Matchweek 8,Wed,Home,D,3,3,Grêmio,46.0,13154.0,,4-2-3-1,4-2-3-1,Luiz Flavio De Oliveira,Match Report,
2016-06-19,11:00,Série A,Matchweek 9,Sun,Away,W,2,1,Vitória,48.0,7702.0,,4-3-2-1,4-3-3,Leandro Pedro Vuaden,Match Report,
2016-06-23,15:00,Série A,Matchweek 10,Thu,Home,D,0,0,Ath Paranaense,51.0,3788.0,,4-3-2-1,4-2-3-1,Francisco Carlos do Nascimento,Match Report,
2016-06-26,18:30,Série A,Matchweek 11,Sun,Away,L,1,5,Sport Recife,43.0,38921.0,,4-3-2-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-06-29,21:00,Série A,Matchweek 12,Wed,Home,W,3,2,Cruzeiro,47.0,6774.0,,4-3-2-1,4-3-2-1,Rodolpho Toski Marques,Match Report,
2016-07-03,16:00,Série A,Matchweek 13,Sun,Away,L,0,3,Santos,36.0,10322.0,,4-3-2-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2016-07-09,16:30,Série A,Matchweek 14,Sat,Home,L,0,2,Corinthians,39.0,11615.0,,4-3-2-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2016-07-17,16:00,Série A,Matchweek 15,Sun,Away,D,1,1,Figueirense,55.0,6017.0,,4-3-2-1,4-2-3-1,Sandro Ricci,Match Report,
2016-07-24,16:00,Série A,Matchweek 16,Sun,Home,W,2,1,Botafogo (RJ),38.0,7012.0,,4-3-2-1,4-2-3-1,Anderson Daronco,Match Report,
2016-07-31,11:00,Série A,Matchweek 17,Sun,Away,D,2,2,São Paulo,32.0,54996.0,,4-3-2-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2016-08-04,21:30,Série A,Matchweek 18,Thu,Home,D,1,1,Palmeiras,35.0,9167.0,,4-3-2-1,4-2-3-1,Wilton Sampaio,Match Report,
2016-08-08,20:00,Série A,Matchweek 19,Mon,Away,L,1,3,Atlético Mineiro,43.0,17484.0,,4-3-2-1,4-2-2-2,Pericles Bassols Pegado Cortez,Match Report,
2016-08-15,20:00,Série A,Matchweek 20,Mon,Home,W,1,0,Internacional,57.0,11360.0,,4-3-2-1,4-2-3-1,Joao Batista de Arruda,Match Report,
2016-08-19,21:30,Série A,Matchweek 21,Fri,Away,W,2,1,América (MG),50.0,1191.0,,4-3-2-1,4-5-1,Flavio Rodrigues De Souza,Match Report,
2016-08-25,18:00,Sudamericana,Second stage,Thu,Away,L,0,1,br Cuiabá,,1714.0,,,,Jorge Baliño,Match Report,Leg 1 of 2
2016-08-28,16:00,Série A,Matchweek 22,Sun,Home,L,1,3,Flamengo,43.0,11562.0,,4-3-2-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2016-08-31,21:45,Sudamericana,Second stage,Wed,Home,W,3,1,br Cuiabá,,4452.0,,,,Jesús Valenzuela,Match Report,Leg 2 of 2; Chapecoense won
2016-09-07,16:00,Série A,Matchweek 23,Wed,Away,D,2,2,Santa Cruz,46.0,12266.0,,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2016-09-11,11:00,Série A,Matchweek 24,Sun,Home,W,1,0,Coritiba,47.0,6101.0,,4-4-2,4-2-3-1,Diego Almeida Real,Match Report,
2016-09-15,19:30,Série A,Matchweek 25,Thu,Away,W,2,1,Fluminense,42.0,8820.0,,4-1-4-1,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,
2016-09-18,16:00,Série A,Matchweek 26,Sun,Home,D,2,2,Ponte Preta,56.0,2709.0,,4-1-4-1,4-1-4-1,Joao Batista de Arruda,Match Report,
2016-09-21,19:15,Sudamericana,Round of 16,Wed,Away,D,0,0,ar Independiente,,,,,,Klever Rojas,Match Report,Leg 1 of 2
2016-09-25,16:00,Série A,Matchweek 27,Sun,Away,L,0,1,Grêmio,53.0,11152.0,,4-1-4-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-09-28,19:15,Sudamericana,Round of 16,Wed,Home,D,0 (5),0 (4),ar Independiente,,,,,,Juan Bravo,Match Report,Leg 2 of 2; Chapecoense won; Chapecoense won on penalty kicks following extra time
