Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Tiepo,br BRA,GK,20.0,26,25,2250,25.0,39,1.56,120,78,70.8,4,6,15,5,20.0,8,4,4,0,50.0,Matches
João Ricardo Riedi,br BRA,GK,30.0,13,13,1170,13.0,13,1.0,69,56,84.1,3,5,5,3,23.1,2,2,0,0,0.0,Matches
Squad Total,,,28.8,38,38,3420,38.0,52,1.37,189,134,75.7,7,11,20,8,21.1,10,6,4,0,40.0,
Opponent Total,,,27.2,38,38,3420,38.0,31,0.82,142,110,81.0,20,11,7,15,39.5,5,4,1,0,20.0,
