Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Lucas Mineiro,br BRA,MF,19.0,2,117.0,59.0,3.5,1.3,1,46.0,0.0,1,71.0,3,0.5,3.0,4.0,-1.0,-0.77,-0.69,Matches
Ailton Canela,br BRA,FW,21.0,4,84.0,21.0,2.5,0.9,0,,0.0,4,20.0,12,1.0,0.0,1.0,-1.0,-1.07,-0.99,Matches
Andrei Alba,br BRA,MF,21.0,1,53.0,53.0,1.6,0.6,0,,0.0,1,52.0,2,1.0,0.0,0.0,0.0,0.0,0.11,Matches
Odair Souza,br BRA,MF,33.0,1,10.0,10.0,0.3,0.1,0,,0.0,1,9.0,19,0.0,0.0,0.0,0.0,0.0,0.11,Matches
Rodrigo Andrade,br BRA,MF,27.0,1,2.0,2.0,0.1,0.0,0,,0.0,1,1.0,4,1.0,0.0,1.0,-1.0,-45.0,-44.92,Matches
Igor Brondani,br BRA,DF,20.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Follmann,br BRA,GK,23.0,0,,,,,0,,0.0,0,,25,,,,,,,Matches
Wesley Natã,br BRA,FW,20.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Nivaldo,br BRA,GK,41.0,0,,,,,0,,0.0,0,,18,,,,,,,Matches
Squad Total,,,27.8,37,3330.0,90.0,100.0,37.0,407,83.0,,111,25.0,260,1.41,49.0,53.0,-4.0,-0.11,,
Opponent Total,,,26.8,37,3330.0,90.0,100.0,37.0,407,83.0,,107,25.0,292,1.24,53.0,49.0,4.0,0.11,,
