Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Aranha,br BRA,GK,36.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,0,1.05,37.0,51.0,-14.0,-0.38,0.62,Matches
Lucca,br BRA,"FW,MF",26.0,37,3279.0,89.0,95.9,36.4,37,89.0,32.0,0,,0,1.05,33.0,50.0,-17.0,-0.47,-1.74,Matches
Marllon Borges,br BRA,DF,24.0,31,2724.0,88.0,79.6,30.3,29,90.0,29.0,2,56.0,6,1.1,31.0,44.0,-13.0,-0.43,-0.17,Matches
Nino Paraíba,br BRA,DF,31.0,34,2684.0,79.0,78.5,29.8,29,90.0,29.0,5,14.0,2,1.0,31.0,48.0,-17.0,-0.57,-0.81,Matches
Elton,br BRA,MF,26.0,28,2268.0,81.0,66.3,25.2,27,83.0,18.0,1,21.0,4,1.14,27.0,35.0,-8.0,-0.32,0.23,Matches
Jeferson,br BRA,"DF,FW",20.0,24,2020.0,84.0,59.1,22.4,23,86.0,16.0,1,45.0,13,1.04,19.0,25.0,-6.0,-0.27,0.31,Matches
Danilo Barcelos,br BRA,"DF,MF",25.0,22,1953.0,89.0,57.1,21.7,22,89.0,20.0,0,,0,1.09,22.0,27.0,-5.0,-0.23,0.38,Matches
Emerson Sheik,qa QAT,FW,38.0,23,1954.0,85.0,57.1,21.7,21,89.0,20.0,2,45.0,0,1.13,23.0,30.0,-7.0,-0.32,0.17,Matches
Naldo,br BRA,MF,26.0,24,1837.0,77.0,53.7,20.4,21,84.0,16.0,3,26.0,8,1.33,27.0,24.0,3.0,0.15,1.17,Matches
Rodrigo,br BRA,DF,36.0,22,1740.0,79.0,50.9,19.3,21,82.0,17.0,1,14.0,8,1.18,19.0,22.0,-3.0,-0.16,0.49,Matches
Fernando Bob,br BRA,MF,29.0,19,1457.0,77.0,42.6,16.2,17,81.0,11.0,2,39.0,4,0.68,11.0,24.0,-13.0,-0.8,-0.71,Matches
Léo Artur,br BRA,"FW,MF",21.0,22,1323.0,60.0,38.7,14.7,15,74.0,3.0,7,29.0,9,1.23,16.0,16.0,0.0,0.0,0.64,Matches
Luan Peres Petroni,br BRA,DF,22.0,16,1242.0,78.0,36.3,13.8,13,90.0,13.0,3,23.0,14,1.06,13.0,21.0,-8.0,-0.58,-0.29,Matches
Wendel Geraldo,br BRA,MF,34.0,20,988.0,49.0,28.9,11.0,13,66.0,1.0,7,19.0,12,0.9,13.0,20.0,-7.0,-0.64,-0.34,Matches
Jadson,br BRA,MF,23.0,21,918.0,44.0,26.8,10.2,12,60.0,0.0,9,22.0,12,0.9,7.0,16.0,-9.0,-0.88,-0.67,Matches
João Lucas Cardoso,br BRA,DF,25.0,10,857.0,86.0,25.1,9.5,10,86.0,7.0,0,,1,1.4,11.0,13.0,-2.0,-0.21,0.25,Matches
Renato Cajá,br BRA,MF,32.0,18,918.0,51.0,26.8,10.2,8,77.0,0.0,10,30.0,2,1.0,13.0,14.0,-1.0,-0.1,0.41,Matches
