Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Tiago Alves,br BRA,DF,31.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivan,br BRA,GK,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
César,br BRA,GK,24.0,0,0,,,,,,,,,,,,,,,,Matches
Edinan,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches
Emerson,br BRA,"DF,MF",17.0,0,0,,,,,,,,,,,,,,,,Matches
Handerson,br BRA,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Marquinhos,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Diogo Mateus,br BRA,"DF,MF",22.0,0,0,,,,,,,,,,,,,,,,Matches
Vinicius Pinto,br BRA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Guilherme Silva Nogueira,br BRA,GK,16.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.7,38,418,3420.0,38.0,48.0,39.0,87.0,45.0,3.0,4.0,97.0,3.0,1.26,1.03,2.29,1.18,2.21,
Opponent Total,,,26.5,38,418,3420.0,38.0,50.0,30.0,80.0,45.0,5.0,5.0,85.0,6.0,1.32,0.79,2.11,1.18,1.97,
