Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Victor Leandro Bagy,br BRA,GK,33.0,32,2880.0,90.0,86.5,32.0,32,90.0,32.0,0,,0,1.69,53.0,43.0,10.0,0.31,0.11,Matches
Fred,br BRA,FW,32.0,28,2176.0,78.0,65.3,24.2,27,80.0,14.0,1,15.0,1,1.75,47.0,26.0,21.0,0.87,1.65,Matches
Rafael Carioca,br BRA,MF,26.0,27,2302.0,85.0,69.1,25.6,26,88.0,24.0,1,13.0,2,1.48,39.0,41.0,-2.0,-0.08,-1.22,Matches
Robinho,br BRA,"FW,MF",32.0,30,2127.0,71.0,63.9,23.6,26,78.0,10.0,4,22.0,0,1.77,44.0,29.0,15.0,0.63,0.93,Matches
Leonardo Silva,br BRA,DF,36.0,24,2160.0,90.0,64.9,24.0,24,90.0,24.0,0,,0,1.92,41.0,29.0,12.0,0.5,0.58,Matches
Carlos César,br BRA,DF,28.0,24,1889.0,79.0,56.7,21.0,22,82.0,17.0,2,41.0,10,1.71,37.0,30.0,7.0,0.33,0.08,Matches
Júnior Urso,br BRA,MF,26.0,23,1794.0,78.0,53.9,19.9,20,86.0,18.0,3,27.0,4,1.61,37.0,32.0,5.0,0.25,-0.1,Matches
Leandro Donizete,br BRA,MF,33.0,21,1776.0,85.0,53.3,19.7,20,87.0,16.0,1,45.0,2,1.62,31.0,24.0,7.0,0.35,0.12,Matches
Frickson Erazo,ec ECU,DF,27.0,20,1780.0,89.0,53.5,19.8,19,90.0,18.0,1,77.0,0,1.9,34.0,20.0,14.0,0.71,0.88,Matches
Fábio Santos,br BRA,DF,30.0,20,1720.0,86.0,51.7,19.1,19,89.0,18.0,1,25.0,4,1.9,31.0,22.0,9.0,0.47,0.36,Matches
Clayton,br BRA,"FW,MF",20.0,28,1556.0,56.0,46.7,17.3,19,75.0,7.0,9,16.0,5,1.75,26.0,22.0,4.0,0.23,-0.12,Matches
Gabriel,br BRA,DF,20.0,15,1280.0,85.0,38.4,14.2,14,90.0,14.0,1,19.0,18,1.6,22.0,19.0,3.0,0.21,-0.14,Matches
Marcos Rocha,br BRA,DF,27.0,15,1109.0,74.0,33.3,12.3,14,77.0,10.0,1,25.0,0,1.4,19.0,19.0,0.0,0.0,-0.45,Matches
Juan Cazares,ec ECU,MF,23.0,17,1090.0,64.0,32.7,12.1,13,78.0,5.0,4,18.0,1,1.94,24.0,14.0,10.0,0.83,0.79,Matches
Lucas Cândido,br BRA,MF,22.0,14,1029.0,74.0,30.9,11.4,12,84.0,8.0,2,12.0,20,1.71,15.0,15.0,0.0,0.0,-0.43,Matches
Maicosuel,br BRA,MF,29.0,14,891.0,64.0,26.8,9.9,11,72.0,1.0,3,32.0,0,1.86,15.0,10.0,5.0,0.51,0.28,Matches
Lucas Pratto,ar ARG,FW,27.0,18,1103.0,61.0,33.1,12.3,10,87.0,8.0,8,30.0,1,1.89,22.0,16.0,6.0,0.49,0.29,Matches
Carlos,br BRA,"FW,MF",20.0,16,828.0,52.0,24.9,9.2,10,75.0,3.0,6,14.0,4,1.44,13.0,19.0,-6.0,-0.65,-1.26,Matches
Patric Cabral Lalau,br BRA,"DF,MF",26.0,18,968.0,54.0,29.1,10.8,9,79.0,5.0,9,28.0,9,1.33,14.0,19.0,-5.0,-0.46,-1.07,Matches
Douglas Santos,br BRA,"DF,MF",21.0,10,855.0,86.0,25.7,9.5,9,90.0,9.0,1,45.0,0,1.8,16.0,12.0,4.0,0.42,0.17,Matches
Rómulo Otero,ve VEN,"FW,MF",23.0,13,802.0,62.0,24.1,8.9,8,84.0,3.0,5,26.0,2,1.62,13.0,13.0,0.0,0.0,-0.39,Matches
Edcarlos,br BRA,DF,30.0,8,720.0,90.0,21.6,8.0,8,90.0,8.0,0,,17,1.13,11.0,15.0,-4.0,-0.5,-1.02,Matches
Hyuri,br BRA,"FW,MF",24.0,13,470.0,36.0,14.1,5.2,5,76.0,0.0,8,11.0,17,1.15,4.0,4.0,0.0,0.0,-0.35,Matches
Tiago Pagnussat,br BRA,DF,25.0,5,450.0,90.0,13.5,5.0,5,90.0,5.0,0,,6,1.2,7.0,9.0,-2.0,-0.4,-0.81,Matches
Eduardo Henrique,br BRA,MF,20.0,6,426.0,71.0,12.8,4.7,5,85.0,4.0,1,0.0,12,2.33,9.0,6.0,3.0,0.63,0.39,Matches
Carlos Eduardo,br BRA,"FW,MF",28.0,10,349.0,35.0,10.5,3.9,4,59.0,0.0,6,19.0,16,1.2,7.0,8.0,-1.0,-0.26,-0.62,Matches
Ronaldo Conceição,br BRA,DF,28.0,4,278.0,70.0,8.3,3.1,3,90.0,3.0,1,7.0,16,2.5,5.0,4.0,1.0,0.32,0.03,Matches
Giovanni Santos,br BRA,GK,28.0,3,270.0,90.0,8.1,3.0,3,90.0,3.0,0,,33,1.33,6.0,6.0,0.0,0.0,-0.32,Matches
Leonan,br BRA,DF,20.0,3,244.0,81.0,7.3,2.7,3,81.0,2.0,0,,17,1.33,5.0,5.0,0.0,0.0,-0.32,Matches
Luan,br BRA,"FW,MF",25.0,8,295.0,37.0,8.9,3.3,2,71.0,0.0,6,26.0,0,2.13,7.0,3.0,4.0,1.22,1.01,Matches
Jesiel,br BRA,DF,21.0,2,180.0,90.0,5.4,2.0,2,90.0,2.0,0,,11,0.5,4.0,5.0,-1.0,-0.5,-0.84,Matches
Uilson,br BRA,GK,21.0,2,180.0,90.0,5.4,2.0,2,90.0,2.0,0,,14,2.0,2.0,1.0,1.0,0.5,0.21,Matches
Pablo Diogo,br BRA,"DF,FW",23.0,5,152.0,30.0,4.6,1.7,1,64.0,0.0,4,22.0,2,1.2,1.0,2.0,-1.0,-0.59,-0.93,Matches
Jesús Dátolo,ar ARG,MF,31.0,6,182.0,30.0,5.5,2.0,0,,0.0,6,30.0,1,2.33,6.0,4.0,2.0,0.99,0.73,Matches
Capixaba,br BRA,"FW,MF",19.0,3,73.0,24.0,2.2,0.8,0,,0.0,3,24.0,5,0.33,0.0,2.0,-2.0,-2.47,-2.82,Matches
Yago,br BRA,MF,20.0,6,64.0,11.0,1.9,0.7,0,,0.0,6,10.0,10,2.67,1.0,0.0,1.0,1.41,1.13,Matches
Thalis Cantanhede,br BRA,MF,19.0,2,32.0,16.0,1.0,0.4,0,,0.0,2,15.0,1,0.5,1.0,1.0,0.0,0.0,-0.3,Matches
Alex Silva,br BRA,DF,21.0,1,29.0,29.0,0.9,0.3,0,,0.0,1,28.0,2,1.0,1.0,0.0,1.0,3.1,2.83,Matches
João Figueiredo,br BRA,"FW,MF",19.0,3,19.0,6.0,0.6,0.2,0,,0.0,3,5.0,1,1.0,0.0,0.0,0.0,0.0,-0.3,Matches
Clebinho,br BRA,MF,18.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Eron,br BRA,DF,24.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Filipinho,br BRA,MF,19.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Luiz Guilherme,br BRA,FW,19.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Lauro,br BRA,GK,35.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Adson Marques,br BRA,DF,18.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Daniel Penha,br BRA,MF,17.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Ralph,br BRA,DF,17.0,0,,,,,0,,0.0,0,,3,,,,,,,Matches
Roldan,br BRA,MF,19.0,0,,,,,0,,0.0,0,,2,,,,,,,Matches
Cleiton Schwengber,br BRA,GK,18.0,0,,,,,0,,0.0,0,,4,,,,,,,Matches
Nathan Silva,br BRA,"DF,MF",18.0,0,,,,,0,,0.0,0,,5,,,,,,,Matches
Thiago Valle,br BRA,GK,17.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Squad Total,,,28.1,37,3330.0,90.0,100.0,37.0,407,84.0,,110,22.0,292,1.68,61.0,50.0,11.0,0.3,,
Opponent Total,,,26.8,37,3330.0,90.0,100.0,37.0,407,84.0,,110,22.0,286,1.03,50.0,61.0,-11.0,-0.3,,
