Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Victor Leandro Bagy,br BRA,GK,34.0,36,36,3240,36.0,47,1.31,133,95,68.4,13,12,11,8,22.2,11,5,4,2,44.4,Matches
Giovanni Santos,br BRA,GK,29.0,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
Cleiton Schwengber,br BRA,GK,19.0,2,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,28.6,38,38,3420,38.0,49,1.29,138,98,68.1,14,12,12,9,23.7,11,5,4,2,44.4,
Opponent Total,,,26.6,38,38,3420,38.0,52,1.37,153,111,69.3,12,12,14,8,21.1,10,5,5,0,50.0,
