Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2016-02-17,18:45,Libertadores,Second stage,Wed,Away,W,2,1,pe Melgar,,,,4-2-3-1,4-2-3-1,Wilson Lamouroux,Match Report,
2016-02-24,21:45,Libertadores,Second stage,Wed,Home,W,1,0,ec Independiente,,,,4-2-3-1,4-2-3-1,Fernando Rapallini,Match Report,
2016-03-10,21:45,Libertadores,Second stage,Thu,Away,D,0,0,cl Colo-Colo,,,,4-2-3-1,4-2-3-1,Gery Vargas,Match Report,
2016-03-16,21:45,Libertadores,Second stage,Wed,Home,W,3,0,cl Colo-Colo,,,,4-2-3-1,4-2-3-1,Juan Soto,Match Report,
2016-04-06,19:45,Libertadores,Second stage,Wed,Away,L,2,3,ec Independiente,,,,4-2-3-1,4-2-3-1,Darío Herrera,Match Report,
2016-04-14,19:30,Libertadores,Second stage,Thu,Home,W,4,0,pe Melgar,,,,4-3-3,4-5-1,Jesús Valenzuela,Match Report,
2016-04-27,19:30,Libertadores,Round of 16,Wed,Away,D,0,0,ar Racing Club,,,,4-4-1-1,4-4-1-1,Julio Quintana,Match Report,Leg 1 of 2
2016-05-04,21:45,Libertadores,Round of 16,Wed,Home,W,2,1,ar Racing Club,,,,4-3-3,4-2-3-1,Daniel Fedorczuk,Match Report,Leg 2 of 2; Atlético Mineiro won
2016-05-11,21:45,Libertadores,Quarter-finals,Wed,Away,L,0,1,br São Paulo,,,,4-4-1-1,4-2-3-1,Wilmar Roldán,Match Report,Leg 1 of 2
2016-05-14,18:30,Série A,Matchweek 1,Sat,Home,W,1,0,Santos,41.0,5403.0,,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2016-05-18,21:45,Libertadores,Quarter-finals,Wed,Home,W,2,1,br São Paulo,,,,4-2-3-1,4-2-3-1,Andrés Cunha,Match Report,Leg 2 of 2; São Paulo won
2016-05-22,11:00,Série A,Matchweek 2,Sun,Away,D,1,1,Ath Paranaense,57.0,11804.0,,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2016-05-26,21:00,Série A,Matchweek 3,Thu,Home,L,0,3,Grêmio,55.0,15742.0,,4-4-2,4-2-3-1,Raphael Claus,Match Report,
2016-05-29,16:00,Série A,Matchweek 4,Sun,Away,D,1,1,Vitória,56.0,12791.0,,4-3-3,4-2-3-1,Rodolpho Toski Marques,Match Report,
2016-06-01,21:45,Série A,Matchweek 5,Wed,Home,D,1,1,Fluminense,61.0,8144.0,,4-2-3-1,4-2-3-1,Luiz Flavio De Oliveira,Match Report,
2016-06-05,16:00,Série A,Matchweek 6,Sun,Away,D,4,4,Sport Recife,49.0,14170.0,,4-2-3-1,4-2-3-1,Rodrigo Nunes de Sá,Match Report,
2016-06-12,16:00,Série A,Matchweek 7,Sun,Home,L,2,3,Cruzeiro,68.0,19484.0,,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2016-06-16,19:30,Série A,Matchweek 8,Thu,Away,L,0,2,Internacional,55.0,21881.0,,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,
2016-06-19,11:00,Série A,Matchweek 9,Sun,Home,W,3,0,Ponte Preta,53.0,16042.0,,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2016-06-22,21:45,Série A,Matchweek 10,Wed,Home,W,2,1,Corinthians,49.0,34426.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2016-06-26,11:00,Série A,Matchweek 11,Sun,Away,W,1,0,América (MG),43.0,9516.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2016-06-30,21:00,Série A,Matchweek 12,Thu,Home,W,5,3,Botafogo (RJ),46.0,36129.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2016-07-03,19:00,Série A,Matchweek 13,Sun,Away,D,1,1,Figueirense,47.0,5226.0,,4-2-3-1,4-4-1-1,Rafael Traci,Match Report,
2016-07-10,11:00,Série A,Matchweek 14,Sun,Away,L,0,2,Flamengo,54.0,23390.0,,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,
2016-07-18,20:00,Série A,Matchweek 15,Mon,Home,W,2,1,Coritiba,50.0,20891.0,,4-2-3-1,4-1-4-1,Leandro Pedro Vuaden,Match Report,
2016-07-24,11:00,Série A,Matchweek 16,Sun,Away,W,1,0,Palmeiras,43.0,39400.0,,4-3-2-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2016-07-30,21:00,Série A,Matchweek 17,Sat,Home,W,3,0,Santa Cruz,58.0,16804.0,,4-2-2-2,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-08-04,19:30,Série A,Matchweek 18,Thu,Away,W,2,1,São Paulo,40.0,15717.0,,4-2-2-2,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2016-08-08,20:00,Série A,Matchweek 19,Mon,Home,W,3,1,Chapecoense,57.0,17484.0,,4-2-2-2,4-3-2-1,Pericles Bassols Pegado Cortez,Match Report,
2016-08-14,16:00,Série A,Matchweek 20,Sun,Away,L,0,3,Santos,63.0,10250.0,,4-4-2,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2016-08-21,11:00,Série A,Matchweek 21,Sun,Home,W,1,0,Ath Paranaense,60.0,17465.0,,4-2-3-1,5-4-1,Braulio da Silva Machado,Match Report,
2016-08-28,16:00,Série A,Matchweek 22,Sun,Away,D,1,1,Grêmio,38.0,30631.0,,4-2-2-2,4-3-2-1,Claudio Francisco Lima e Silva,Match Report,
2016-09-07,19:30,Série A,Matchweek 23,Wed,Home,W,2,1,Vitória,50.0,13532.0,,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2016-09-12,20:00,Série A,Matchweek 24,Mon,Away,L,2,4,Fluminense,50.0,9004.0,,4-4-2,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,
2016-09-15,19:30,Série A,Matchweek 25,Thu,Home,W,1,0,Sport Recife,62.0,11389.0,,4-4-2,4-2-3-1,Thiago Duarte Peixoto,Match Report,
2016-09-18,16:00,Série A,Matchweek 26,Sun,Away,D,1,1,Cruzeiro,52.0,43381.0,,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2016-09-25,18:30,Série A,Matchweek 27,Sun,Home,W,3,1,Internacional,56.0,20311.0,,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,
2016-10-01,16:30,Série A,Matchweek 28,Sat,Away,W,2,1,Ponte Preta,43.0,4946.0,,4-2-3-1,4-1-4-1,Diego Almeida Real,Match Report,
2016-10-05,21:00,Série A,Matchweek 29,Wed,Away,D,0,0,Corinthians,40.0,17135.0,,4-2-3-1,4-1-4-1,Rodolpho Toski Marques,Match Report,
2016-10-13,19:30,Série A,Matchweek 30,Thu,Home,W,3,0,América (MG),60.0,27737.0,,4-2-3-1,4-1-4-1,Raphael Claus,Match Report,
2016-10-16,17:00,Série A,Matchweek 31,Sun,Away,L,2,3,Botafogo (RJ),59.0,14595.0,,4-2-3-1,4-3-1-2,Wagner Reway,Match Report,
2016-10-23,19:30,Série A,Matchweek 32,Sun,Home,W,3,0,Figueirense,54.0,14615.0,,4-2-3-1,4-1-4-1,Grazianni Maciel Rocha,Match Report,
2016-10-29,16:30,Série A,Matchweek 33,Sat,Home,D,2,2,Flamengo,48.0,45952.0,,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2016-11-06,19:30,Série A,Matchweek 34,Sun,Away,L,0,2,Coritiba,67.0,11847.0,,4-2-3-1,4-1-4-1,Anderson Daronco,Match Report,
2016-11-17,21:00,Série A,Matchweek 35,Thu,Home,D,1,1,Palmeiras,66.0,14942.0,,4-2-3-1,4-3-3,Braulio da Silva Machado,Match Report,
2016-11-20,18:30,Série A,Matchweek 36,Sun,Away,D,3,3,Santa Cruz,60.0,3221.0,,4-2-3-1,4-1-4-1,Wagner do Nascimento Magalhaes,Match Report,
2016-11-27,17:00,Série A,Matchweek 37,Sun,Home,L,1,2,São Paulo,63.0,8901.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-12-11,17:00,Série A,Matchweek 38,Sun,Away,,0,0,Chapecoense,,,,,,Rodrigo D'Alonso Ferreira,Match Report,Match Cancelled
