Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Éverson,br BRA,GK,33.0,24.9,31,4,0,3,1,29.8,0.27,-0.2,-0.01,102,241,42.3,622,97,28.8,30.8,176,35.2,34.4,310,11,3.5,22,0.88,15.2,Matches
Matheus Mendes,br BRA,GK,24.0,12.1,22,1,0,3,0,25.8,0.36,3.8,0.32,34,80,42.5,252,51,20.6,26.4,79,35.4,27.5,166,9,5.4,14,1.16,15.1,Matches
Gabriel Delfim,br BRA,GK,21.0,1.0,1,0,0,0,0,1.1,0.37,0.1,0.11,1,5,20.0,21,7,19.0,25.6,9,11.1,23.2,10,2,20.0,0,0.0,13.0,Matches
Squad Total,,,28.1,38.0,54,5,0,6,1,56.8,0.31,3.8,0.1,137,326,42.0,891,155,26.4,,268,34.0,31.6,486,22,4.5,36,0.95,,
Opponent Total,,,28.0,38.0,47,11,3,2,0,51.9,0.26,4.9,0.13,178,515,34.6,758,133,44.9,37.7,298,58.7,43.7,591,30,5.1,28,0.74,12.5,
