Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Ath Paranaense,31,53.1,38.0,22993,2537,7488,10656,5080,689,22990,654,326,49.8,273,41.7,12571,67382,35360,639,469,135,620,388,14993,1467
vs Atl Goianiense,40,52.6,38.0,22202,2291,6891,10218,5323,729,22193,593,313,52.8,240,40.5,12232,66524,35674,652,479,138,529,343,14412,1452
vs Atlético Mineiro,36,42.8,38.0,19052,2034,5619,8780,4871,646,19045,667,288,43.2,333,49.9,9840,53693,27440,548,457,108,550,360,11464,1235
vs Bahia,30,44.2,38.0,20627,2043,6090,10240,4544,621,20624,662,332,50.2,279,42.1,11719,63798,34224,636,441,135,460,310,13466,1326
vs Botafogo (RJ),38,46.2,38.0,20322,2445,7176,8865,4491,595,20316,651,290,44.5,292,44.9,10775,56428,27476,488,384,106,559,329,12636,1183
vs Corinthians,43,49.2,38.0,21097,2208,6576,9646,5108,708,21090,760,374,49.2,334,43.9,11660,62160,32072,641,474,138,505,326,13251,1313
vs Criciúma,34,57.1,38.0,24932,2030,6676,11834,6662,909,24926,776,376,48.5,329,42.4,14630,77905,40685,770,607,164,548,315,16923,1801
vs Cruzeiro,39,46.9,38.0,21100,2499,7321,9129,4845,708,21098,626,292,46.6,289,46.2,11786,55518,25575,526,357,123,529,311,13506,1333
vs Cuiabá,32,57.4,38.0,24868,1960,6340,12197,6522,795,24861,618,271,43.9,285,46.1,14284,72621,36987,641,499,126,588,312,17410,1811
vs Flamengo,38,44.2,38.0,19983,2594,7216,8730,4239,574,19978,619,295,47.7,274,44.3,10810,55176,27211,495,425,109,501,369,12460,1131
vs Fluminense,39,44.5,38.0,20370,2096,6481,9158,4978,720,20366,649,296,45.6,315,48.5,11088,58677,30624,587,456,141,512,334,12618,1270
vs Fortaleza,28,57.3,38.0,24073,2046,6647,12117,5550,796,24068,692,336,48.6,298,43.1,13862,72971,38105,695,525,118,553,356,16362,1622
vs Grêmio,38,54.0,38.0,23556,2006,6471,11487,5841,774,23546,610,279,45.7,291,47.7,13697,70331,36619,704,572,134,585,362,15644,1662
vs Internacional,37,47.3,38.0,20828,2512,7551,9366,4149,558,20823,722,346,47.9,323,44.7,10919,55214,26701,460,357,92,578,371,12700,1173
vs Juventude,36,52.9,38.0,22284,2174,6784,10099,5576,841,22273,690,331,48.0,318,46.1,12274,61980,30826,560,430,141,554,372,14660,1510
vs Palmeiras,32,46.3,38.0,19709,2649,7327,8571,4012,582,19707,754,368,48.8,316,41.9,10027,54626,27510,525,389,125,608,360,11524,1184
vs RB Bragantino,38,52.7,38.0,21889,2303,7179,9535,5366,878,21886,658,284,43.2,315,47.9,11878,60172,29940,558,416,168,569,352,13598,1460
vs São Paulo,38,42.5,38.0,19355,2125,6122,9050,4401,605,19352,625,292,46.7,274,43.8,10763,57602,29275,540,415,119,519,315,12321,1233
vs Vasco da Gama,40,51.1,38.0,22329,2062,6357,10379,5823,764,22329,730,330,45.2,347,47.5,12485,65853,34872,700,554,158,536,383,14623,1641
vs Vitória,41,57.6,38.0,24518,2050,6832,12063,5794,800,24514,671,297,44.3,322,48.0,14393,72873,37922,613,533,140,539,334,16919,1644
