Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Palmeiras,19,14,4,1,35,13,22,46,2.42,19,10,4,5,27,19,8,34,1.79
2,Santos,19,15,2,2,36,11,25,47,2.47,19,7,3,9,23,24,-1,24,1.26
3,Flamengo,19,12,5,2,31,16,15,41,2.16,19,8,6,5,21,19,2,30,1.58
4,Atlético Mineiro,19,13,3,3,39,20,19,42,2.21,18,4,8,6,22,30,-8,20,1.11
5,Botafogo (RJ),19,10,5,4,27,17,10,35,1.84,19,7,3,9,16,22,-6,24,1.26
6,Ath Paranaense,19,15,3,1,27,6,21,48,2.53,19,2,3,14,11,26,-15,9,0.47
7,Corinthians,19,10,7,2,27,11,16,37,1.95,19,5,3,11,21,31,-10,18,0.95
8,Grêmio,19,11,4,4,22,11,11,37,1.95,19,3,7,9,19,33,-14,16,0.84
9,Ponte Preta,19,13,2,4,33,18,15,41,2.16,19,2,6,11,15,34,-19,12,0.63
10,São Paulo,19,9,5,5,29,13,16,32,1.68,19,5,5,9,15,23,-8,20,1.05
11,Chapecoense,18,8,6,4,25,21,4,30,1.67,19,5,7,7,24,32,-8,22,1.16
12,Cruzeiro,19,7,7,5,29,26,3,28,1.47,19,7,2,10,19,23,-4,23,1.21
13,Fluminense,19,8,6,5,30,24,6,30,1.58,19,5,5,9,15,21,-6,20,1.05
14,Sport Recife,19,10,5,4,33,22,11,35,1.84,19,3,3,13,16,33,-17,12,0.63
15,Coritiba,19,9,7,3,29,17,12,34,1.79,19,2,6,11,12,25,-13,12,0.63
16,Vitória,19,8,4,7,30,24,6,28,1.47,19,4,5,10,21,29,-8,17,0.89
17,Internacional,19,9,5,5,21,15,6,32,1.68,19,2,5,12,14,26,-12,11,0.58
18,Figueirense,19,7,9,3,21,16,5,30,1.58,19,1,4,14,9,34,-25,7,0.37
19,Santa Cruz,19,7,2,10,27,27,0,23,1.21,19,1,5,13,18,42,-24,8,0.42
20,América (MG),19,7,3,9,13,20,-7,24,1.26,19,0,4,15,10,38,-28,4,0.21
