Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs América (MG),3,38,38,3420,38.0,40,1.05,189,147,81.5,15,8,15,12,31.6,7,5,2,0,28.6
vs Ath Paranaense,2,38,38,3420,38.0,48,1.26,160,113,75.6,12,10,16,10,26.3,10,9,1,0,10.0
vs Atl Goianiense,4,38,38,3420,38.0,39,1.03,154,115,76.0,18,12,8,10,26.3,3,2,1,0,33.3
vs Atlético Mineiro,2,38,38,3414,38.0,45,1.19,173,129,76.9,10,13,15,11,28.9,6,5,1,0,16.7
vs Avaí,3,38,38,3420,38.0,34,0.89,129,94,83.7,21,8,9,12,31.6,14,13,1,0,7.1
vs Botafogo (RJ),4,38,38,3420,38.0,41,1.08,172,132,78.5,15,8,15,14,36.8,4,4,0,0,0.0
vs Ceará,3,38,38,3420,38.0,34,0.89,161,127,82.0,15,16,7,15,39.5,7,5,2,0,28.6
vs Corinthians,3,38,38,3420,38.0,44,1.16,148,106,72.3,9,11,18,10,26.3,3,3,0,0,0.0
vs Coritiba,3,38,38,3420,38.0,39,1.03,146,107,76.0,20,6,12,11,28.9,4,4,0,0,0.0
vs Cuiabá,2,38,38,3420,38.0,31,0.82,129,97,79.1,17,11,10,13,34.2,5,4,1,0,20.0
vs Flamengo,3,38,38,3420,38.0,60,1.58,202,143,71.8,12,8,18,8,21.1,6,3,0,3,0.0
vs Fluminense,1,38,38,3420,38.0,63,1.66,191,129,69.1,10,7,21,9,23.7,4,4,0,0,0.0
vs Fortaleza,3,38,38,3420,38.0,46,1.21,171,123,74.3,13,10,15,9,23.7,6,2,3,1,60.0
vs Goiás,1,38,38,3420,38.0,40,1.05,125,85,72.8,14,13,11,11,28.9,6,6,0,0,0.0
vs Internacional,2,38,38,3420,38.0,58,1.53,186,126,73.1,5,13,20,7,18.4,10,8,2,0,20.0
vs Juventude,3,38,38,3420,38.0,29,0.76,134,107,79.9,22,13,3,15,39.5,4,2,0,2,0.0
vs Palmeiras,3,38,38,3420,38.0,66,1.74,231,166,74.5,3,12,23,6,15.8,9,7,1,1,12.5
vs RB Bragantino,2,38,38,3420,38.0,49,1.29,171,122,73.7,16,11,11,10,26.3,5,4,1,0,20.0
vs Santos,2,38,38,3420,38.0,44,1.16,160,118,74.4,15,11,12,14,36.8,3,3,0,0,0.0
vs São Paulo,3,38,38,3420,38.0,55,1.45,161,105,68.9,10,15,13,10,26.3,7,5,1,1,16.7
