Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Cruzeiro,19,15,2,2,43,17,26,47,2.47,19,9,6,4,24,21,3,33,1.74
2,São Paulo,19,11,6,2,32,16,16,39,2.05,19,9,4,6,27,24,3,31,1.63
3,Internacional,19,15,0,4,37,16,21,45,2.37,19,6,6,7,16,25,-9,24,1.26
4,Corinthians,19,12,6,1,32,15,17,42,2.21,19,7,6,6,17,16,1,27,1.42
5,Atlético Mineiro,19,12,5,2,28,12,16,41,2.16,19,5,6,8,23,26,-3,21,1.11
6,Fluminense,19,11,6,2,40,19,21,39,2.05,19,6,4,9,21,23,-2,22,1.16
7,Grêmio,19,12,4,3,24,11,13,40,2.11,19,5,6,8,12,13,-1,21,1.11
8,Ath Paranaense,19,10,5,4,24,14,10,35,1.84,19,5,4,10,19,28,-9,19,1.0
9,Santos,19,10,3,6,25,12,13,33,1.74,19,5,5,9,17,23,-6,20,1.05
10,Flamengo,19,10,5,4,29,15,14,35,1.84,19,4,5,10,17,32,-15,17,0.89
11,Sport Recife,19,10,6,3,23,16,7,36,1.89,19,4,4,11,13,30,-17,16,0.84
12,Goiás,19,10,4,5,30,14,16,34,1.79,19,3,4,12,8,26,-18,13,0.68
13,Figueirense,19,7,5,7,24,20,4,26,1.37,19,6,3,10,13,27,-14,21,1.11
14,Coritiba,19,10,5,4,24,11,13,35,1.84,19,2,6,11,18,34,-16,12,0.63
15,Chapecoense,19,8,7,4,24,11,13,31,1.63,19,3,3,13,15,33,-18,12,0.63
16,Palmeiras,19,7,4,8,21,23,-2,25,1.32,19,4,3,12,13,36,-23,15,0.79
17,Vitória,19,6,5,8,23,22,1,23,1.21,19,4,3,12,14,32,-18,15,0.79
18,Bahia,19,6,4,9,14,17,-3,22,1.16,19,3,6,10,17,26,-9,15,0.79
19,Botafogo (RJ),19,8,5,6,24,19,5,29,1.53,19,1,2,16,7,29,-22,5,0.26
20,Criciúma,19,7,5,7,19,20,-1,26,1.37,19,0,6,13,9,36,-27,6,0.32
