Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Ath Paranaense,31,38.0,46,516,170,32.9,13.58,4.47,0.09,0.27,19.3,23,0,3,46.7,44.6,0.09,-0.7,1.4
vs Atl Goianiense,40,38.0,56,495,167,33.7,13.03,4.39,0.1,0.3,19.1,23,6,9,52.3,45.4,0.09,3.7,4.6
vs Atlético Mineiro,36,38.0,53,466,158,33.9,12.26,4.16,0.1,0.3,19.1,21,5,7,45.5,39.9,0.09,7.5,8.1
vs Bahia,30,38.0,49,475,161,33.9,12.5,4.24,0.1,0.29,19.2,26,2,3,43.2,40.7,0.09,5.8,6.3
vs Botafogo (RJ),38,38.0,29,445,126,28.3,11.71,3.32,0.05,0.19,20.3,22,5,6,35.2,30.5,0.07,-6.2,-6.5
vs Corinthians,43,38.0,43,515,172,33.4,13.55,4.53,0.07,0.22,19.9,18,6,7,43.1,37.6,0.07,-0.1,-0.6
vs Criciúma,34,38.0,60,622,193,31.0,16.37,5.08,0.09,0.29,19.3,32,4,6,56.6,52.0,0.08,3.4,4.0
vs Cruzeiro,39,38.0,40,485,171,35.3,12.76,4.5,0.08,0.22,18.0,16,2,2,45.4,44.0,0.09,-5.4,-6.0
vs Cuiabá,32,38.0,49,537,174,32.4,14.13,4.58,0.08,0.25,18.7,17,6,7,49.4,43.9,0.08,-0.4,-0.9
vs Flamengo,38,38.0,41,424,126,29.7,11.16,3.32,0.09,0.31,20.1,12,2,5,40.2,36.2,0.09,0.8,2.8
vs Fluminense,39,38.0,39,501,169,33.7,13.18,4.45,0.07,0.21,19.7,17,4,4,43.6,40.5,0.08,-4.6,-5.5
vs Fortaleza,28,38.0,39,550,190,34.5,14.47,5.0,0.06,0.18,19.0,25,5,5,49.1,45.2,0.08,-10.1,-11.2
vs Grêmio,38,38.0,48,573,173,30.2,15.08,4.55,0.07,0.23,20.0,16,8,10,49.4,41.4,0.07,-1.4,-1.4
vs Internacional,37,38.0,36,386,134,34.7,10.16,3.53,0.08,0.24,18.1,12,4,5,33.5,29.6,0.08,2.5,2.4
vs Juventude,36,38.0,58,573,178,31.1,15.08,4.68,0.09,0.28,18.4,25,9,11,59.0,50.3,0.09,-1.0,-1.3
vs Palmeiras,32,38.0,32,442,151,34.2,11.63,3.97,0.07,0.21,19.6,15,1,2,36.4,34.8,0.08,-4.4,-3.8
vs RB Bragantino,38,38.0,47,528,180,34.1,13.89,4.74,0.09,0.26,18.1,10,1,3,48.1,45.6,0.09,-1.1,0.4
vs São Paulo,38,38.0,40,447,145,32.4,11.76,3.82,0.08,0.26,19.0,20,3,3,35.4,33.0,0.08,4.6,4.0
vs Vasco da Gama,40,38.0,56,579,203,35.1,15.24,5.34,0.1,0.28,19.3,27,0,0,52.7,52.7,0.09,3.3,3.3
vs Vitória,41,38.0,50,531,161,30.3,13.97,4.24,0.09,0.29,18.8,19,3,4,44.3,41.3,0.08,5.7,5.7
