Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Ath Paranaense,31,26.2,38,3420,90,100,38.0,418,80,231,184,23,269,1.11,40,46,-6,-0.16,47.0,46.7,0.3,0.01
Atl Goianiense,40,26.5,38,3420,90,100,38.0,418,80,237,175,22,193,0.79,29,58,-29,-0.76,40.6,52.3,-11.7,-0.31
Atlético Mineiro,36,28.1,38,3420,90,100,38.0,418,81,253,158,21,248,1.24,47,54,-7,-0.18,46.0,45.5,0.5,0.01
Bahia,30,27.7,38,3420,90,100,38.0,418,80,231,189,21,260,1.39,49,49,0,0.0,51.3,43.2,8.2,0.21
Botafogo (RJ),38,27.9,38,3420,90,100,38.0,418,80,233,184,23,267,2.08,59,29,30,0.79,57.3,35.2,22.1,0.58
Corinthians,43,26.3,38,3420,90,100,38.0,418,80,233,182,22,270,1.47,54,45,9,0.24,49.1,43.1,6.0,0.16
Criciúma,34,30.0,38,3420,90,100,38.0,418,81,228,189,19,264,1.0,42,61,-19,-0.5,37.4,56.6,-19.2,-0.5
Cruzeiro,39,26.9,38,3420,90,100,38.0,418,81,233,180,20,267,1.37,43,41,2,0.05,40.0,45.4,-5.4,-0.14
Cuiabá,32,27.8,38,3420,90,100,38.0,418,81,237,183,21,255,0.79,29,49,-20,-0.53,31.9,49.4,-17.5,-0.46
Flamengo,38,27.3,38,3420,90,100,38.0,418,82,259,159,22,295,1.84,61,42,19,0.5,56.4,40.2,16.2,0.43
Fluminense,39,30.4,38,3420,90,100,38.0,418,81,236,182,21,266,1.21,33,39,-6,-0.16,37.6,43.6,-6.0,-0.16
Fortaleza,28,29.8,38,3420,90,100,38.0,418,81,224,188,19,264,1.79,53,39,14,0.37,43.6,49.1,-5.5,-0.15
Grêmio,38,28.5,38,3420,90,100,38.0,418,81,228,187,20,265,1.18,44,50,-6,-0.16,43.4,49.4,-6.0,-0.16
Internacional,37,27.5,38,3420,90,100,38.0,418,80,238,181,22,258,1.71,53,36,17,0.45,58.4,33.5,25.0,0.66
Juventude,36,28.1,38,3420,90,100,38.0,418,79,223,188,24,262,1.18,48,59,-11,-0.29,42.9,59.0,-16.1,-0.42
Palmeiras,32,26.6,38,3420,90,100,38.0,418,81,224,190,20,255,1.92,60,33,27,0.71,67.0,36.4,30.6,0.81
RB Bragantino,38,24.8,38,3420,90,100,38.0,418,78,227,190,26,261,1.16,44,48,-4,-0.11,39.4,48.1,-8.8,-0.23
São Paulo,38,28.5,38,3420,90,100,38.0,418,82,241,176,19,275,1.55,53,43,10,0.26,40.3,35.4,5.0,0.13
Vasco da Gama,40,27.5,38,3420,90,100,38.0,418,79,228,188,24,267,1.32,43,56,-13,-0.34,36.8,52.7,-15.9,-0.42
Vitória,41,27.0,38,3420,90,100,38.0,418,78,227,187,26,264,1.24,45,52,-7,-0.18,42.5,44.3,-1.8,-0.05
