Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs América (MG),37,38.0,18601,16533,1996,598,29,106,804,760,233,98,106,0,14426,72,341
vs Ath Paranaense,35,38.0,18826,16743,2047,559,28,94,809,808,232,111,100,1,15045,36,369
vs Atl Goianiense,33,38.0,17358,15399,1914,517,29,140,893,715,248,85,123,2,13804,45,281
vs Atlético Mineiro,32,38.0,15100,13173,1882,520,25,127,517,761,127,43,64,1,11602,45,366
vs Avaí,45,38.0,17630,15642,1949,547,32,127,804,782,262,125,102,1,13924,39,327
vs Botafogo (RJ),43,38.0,17602,15573,1924,548,32,142,677,808,197,87,77,1,13650,105,351
vs Ceará,40,38.0,16476,14499,1923,596,28,134,739,723,216,98,80,0,12873,54,295
vs Corinthians,42,38.0,17094,15273,1749,450,42,148,684,769,183,66,77,1,13387,72,297
vs Coritiba,41,38.0,19221,17374,1787,498,36,182,766,713,216,85,88,2,15782,60,293
vs Cuiabá,35,38.0,19659,17729,1860,509,52,162,778,746,217,65,95,3,16019,70,299
vs Flamengo,44,38.0,15384,13480,1851,519,13,120,585,700,189,78,69,0,12080,53,259
vs Fluminense,32,38.0,14066,12304,1667,458,25,138,662,622,199,80,85,2,10708,95,301
vs Fortaleza,34,38.0,18570,16450,2069,600,25,146,730,853,205,69,96,0,14692,51,300
vs Goiás,36,38.0,19714,17633,2027,591,35,191,931,841,245,80,120,1,15993,54,312
vs Internacional,37,38.0,18109,16254,1790,479,35,177,780,723,215,87,101,1,14557,65,304
vs Juventude,45,38.0,19014,17084,1876,540,25,163,842,730,228,96,92,1,15426,54,259
vs Palmeiras,35,38.0,15238,13327,1879,525,25,108,557,682,155,63,72,1,11735,32,296
vs RB Bragantino,36,38.0,17597,15452,2097,561,36,112,710,858,225,86,84,3,13670,48,345
vs Santos,40,38.0,18270,16416,1807,520,25,162,797,692,220,92,91,2,14698,47,331
vs São Paulo,39,38.0,15661,13784,1815,542,31,145,639,697,178,77,79,0,12208,62,303
