Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Ath Paranaense,41,26.4,38,3420,90,100,38.0,418,81,239,175,22,256,1.39,36,38,-2,-0.05,47.0,45.6,1.4,0.04
vs Atl Goianiense,35,26.5,38,3420,90,100,38.0,418,82,240,172,22,263,1.32,45,40,5,0.13,54.5,44.3,10.2,0.27
vs Atlético Mineiro,34,26.2,38,3420,90,100,38.0,418,82,252,166,21,262,1.0,45,64,-19,-0.5,45.7,68.5,-22.8,-0.6
vs Bahia,39,26.3,38,3420,90,100,38.0,418,80,238,177,19,249,1.63,59,48,11,0.29,57.7,55.9,1.9,0.05
vs Botafogo (RJ),45,26.9,38,3420,90,100,38.0,418,81,244,171,20,265,1.97,62,32,30,0.79,64.8,51.3,13.5,0.36
vs Ceará,34,26.1,38,3420,90,100,38.0,418,82,244,170,19,258,1.37,51,54,-3,-0.08,52.6,51.8,0.8,0.02
vs Corinthians,36,26.6,38,3420,90,100,38.0,418,80,244,171,20,259,1.34,45,45,0,0.0,54.4,44.1,10.3,0.27
vs Coritiba,47,26.6,38,3420,90,100,38.0,418,80,242,172,22,258,1.92,54,31,23,0.61,61.4,37.9,23.5,0.62
vs Flamengo,38,26.6,38,3420,90,100,38.0,418,84,240,176,20,265,0.92,48,68,-20,-0.53,35.2,78.3,-43.1,-1.13
vs Fluminense,37,26.5,38,3420,90,100,38.0,418,82,241,174,22,255,1.05,42,55,-13,-0.34,44.9,41.3,3.6,0.09
vs Fortaleza,31,26.4,38,3420,90,100,38.0,418,81,250,165,20,260,1.63,44,34,10,0.26,47.8,43.2,4.6,0.12
vs Goiás,49,26.6,38,3420,90,100,38.0,418,80,239,177,21,258,1.76,63,41,22,0.58,61.1,39.5,21.7,0.57
vs Grêmio,37,26.5,38,3420,90,100,38.0,418,82,240,170,20,266,1.0,40,53,-13,-0.34,41.8,54.3,-12.5,-0.33
vs Internacional,39,26.8,38,3420,90,100,38.0,418,81,250,166,20,267,0.89,35,61,-26,-0.68,36.2,55.3,-19.1,-0.5
vs Palmeiras,36,26.3,38,3420,90,100,38.0,418,80,245,168,24,260,1.13,37,51,-14,-0.37,39.1,52.6,-13.5,-0.36
vs RB Bragantino,35,26.5,38,3420,90,100,38.0,418,82,245,172,22,268,1.24,40,50,-10,-0.26,43.3,53.3,-10.0,-0.26
vs Santos,40,26.6,38,3420,90,100,38.0,418,81,235,176,21,260,1.26,51,52,-1,-0.03,56.7,50.9,5.7,0.15
vs São Paulo,28,26.3,38,3420,90,100,38.0,418,82,243,171,20,261,0.95,41,59,-18,-0.47,39.5,54.3,-14.8,-0.39
vs Sport Recife,38,26.6,38,3420,90,100,38.0,418,81,245,169,22,274,1.74,50,31,19,0.5,58.0,34.7,23.3,0.61
vs Vasco da Gama,34,26.5,38,3420,90,100,38.0,418,80,243,176,20,258,1.63,56,37,19,0.5,56.4,41.1,15.3,0.4
