Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs América (MG),46,38.0,20543,18502,1972,565,63,154,895,765,232,96,80,0,16570,69,386
vs Ath Paranaense,40,38.0,18062,15978,2021,616,39,128,703,759,186,83,63,0,14321,63,357
vs Atlético Mineiro,31,38.0,17119,15184,1880,620,38,121,706,688,205,102,78,1,13543,55,343
vs Bahia,35,38.0,17854,15793,1931,543,65,161,614,823,182,63,80,1,14077,130,389
vs Botafogo (RJ),36,38.0,18892,16919,1882,522,41,155,739,764,202,72,92,1,15120,91,324
vs Corinthians,36,38.0,19918,18088,1793,496,28,131,880,698,236,97,90,1,16407,37,391
vs Coritiba,47,38.0,19782,17639,2095,603,31,180,867,904,244,103,73,11,15951,48,370
vs Cruzeiro,38,38.0,17288,15152,2023,615,38,161,658,812,161,72,74,0,13521,113,359
vs Cuiabá,30,38.0,20691,18714,1913,528,41,198,755,822,189,74,67,1,17078,64,362
vs Flamengo,32,38.0,15978,14140,1762,514,23,140,663,660,196,61,95,1,12632,76,270
vs Fluminense,37,38.0,14149,12312,1777,552,47,112,689,633,203,70,74,0,10954,60,297
vs Fortaleza,32,38.0,18696,16730,1915,566,35,123,674,740,205,87,87,2,15027,51,366
vs Goiás,42,38.0,19812,17729,2032,685,43,144,889,749,232,94,96,2,16133,51,305
vs Grêmio,44,38.0,19643,17733,1862,506,53,144,805,734,227,105,82,2,15838,48,333
vs Internacional,35,38.0,17981,16121,1799,536,42,193,778,718,205,89,85,0,14282,61,336
vs Palmeiras,33,38.0,16553,14542,1963,651,42,90,560,711,135,36,64,1,13183,48,327
vs RB Bragantino,35,38.0,14656,12342,2215,628,48,134,545,906,193,64,91,1,10273,99,366
vs Santos,46,38.0,19335,17176,2098,600,53,127,724,899,218,101,82,1,15560,61,364
vs São Paulo,38,38.0,14709,12859,1796,576,23,113,626,679,168,62,53,2,11397,54,317
vs Vasco da Gama,38,38.0,18300,16333,1918,581,34,130,746,757,198,82,70,0,14734,49,345
