Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Corinthians,19,16,2,1,41,11,30,50,2.63,19,8,7,4,30,20,10,31,1.63
2,Atlético Mineiro,19,13,2,4,36,20,16,41,2.16,19,8,4,7,29,27,2,28,1.47
3,Grêmio,19,14,3,2,35,15,20,45,2.37,19,6,5,8,17,17,0,23,1.21
4,São Paulo,19,12,6,1,35,16,19,42,2.21,19,6,2,11,18,31,-13,20,1.05
5,Internacional,19,14,3,2,28,9,19,45,2.37,19,3,6,10,11,29,-18,15,0.79
6,Sport Recife,19,13,5,1,33,9,24,44,2.32,19,2,9,8,20,29,-9,15,0.79
7,Santos,19,15,3,1,47,15,32,48,2.53,19,1,7,11,12,26,-14,10,0.53
8,Cruzeiro,19,10,6,3,28,11,17,36,1.89,19,5,4,10,16,24,-8,19,1.0
9,Palmeiras,19,9,4,6,31,23,8,31,1.63,19,6,4,9,29,28,1,22,1.16
10,Ath Paranaense,19,9,6,4,30,20,10,33,1.74,19,5,3,11,13,28,-15,18,0.95
11,Ponte Preta,19,9,4,6,22,15,7,31,1.63,19,4,8,7,19,25,-6,20,1.05
12,Flamengo,19,8,3,8,28,26,2,27,1.42,19,7,1,11,17,27,-10,22,1.16
13,Fluminense,19,10,3,6,25,19,6,33,1.74,19,4,2,13,15,30,-15,14,0.74
14,Chapecoense,19,9,5,5,23,19,4,32,1.68,19,3,6,10,11,25,-14,15,0.79
15,Coritiba,19,6,8,5,15,14,1,26,1.37,19,5,3,11,16,28,-12,18,0.95
16,Figueirense,19,7,6,6,18,17,1,27,1.42,19,4,4,11,18,33,-15,16,0.84
17,Avaí,19,8,5,6,26,26,0,29,1.53,19,3,4,12,12,34,-22,13,0.68
18,Vasco da Gama,19,5,6,8,13,23,-10,21,1.11,19,5,5,9,15,31,-16,20,1.05
19,Goiás,19,7,4,8,22,17,5,25,1.32,19,3,4,12,17,32,-15,13,0.68
20,Joinville,19,6,7,6,19,17,2,25,1.32,19,1,3,15,7,31,-24,6,0.32
