Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs América (MG),37,54.1,38.0,23019,2316,6864,10735,5685,843,23014,619,332,53.6,232,37.5,12858,73208,39926,775,582,155,646,321,14252,1629
vs Ath Paranaense,35,55.9,38.0,22975,2179,7069,10469,5694,743,22971,693,336,48.5,304,43.9,12842,70389,37384,679,534,120,591,328,14892,1544
vs Atl Goianiense,33,49.4,38.0,21372,2197,6237,9553,5836,872,21369,615,327,53.2,250,40.7,12382,68949,36814,716,526,149,527,284,13674,1535
vs Atlético Mineiro,32,41.4,38.0,19235,2426,6794,8709,3965,470,19228,712,360,50.6,303,42.6,10314,59358,30188,538,457,79,588,370,11470,1120
vs Avaí,45,49.8,38.0,21944,2098,6484,10118,5574,927,21934,716,345,48.2,334,46.6,12363,64087,33231,650,454,156,601,302,13818,1584
vs Botafogo (RJ),43,51.3,38.0,21811,2123,6569,10411,5060,732,21806,760,401,52.8,318,41.8,12064,62615,32078,568,424,138,546,293,13539,1438
vs Ceará,40,49.1,38.0,20533,2158,6260,9614,4878,731,20526,598,320,53.5,230,38.5,11637,63508,34503,623,490,122,543,301,12718,1306
vs Corinthians,42,45.3,38.0,21271,2245,6649,9890,4966,662,21265,650,326,50.2,278,42.8,11846,62458,32045,591,470,122,581,339,13264,1357
vs Coritiba,41,54.8,38.0,23476,2132,6755,11052,5925,820,23470,715,351,49.1,333,46.6,13768,76402,41571,771,611,150,594,337,15646,1810
vs Cuiabá,35,55.8,38.0,23830,2229,6629,11636,5779,733,23824,657,336,51.1,269,40.9,13966,74722,38557,614,506,123,550,315,15882,1589
vs Flamengo,44,42.7,38.0,19460,2570,6921,8565,4215,584,19455,682,330,48.4,308,45.2,10586,57873,29235,506,395,120,561,378,11955,1209
vs Fluminense,32,39.2,38.0,18335,2109,5941,7928,4679,646,18332,518,249,48.1,241,46.5,9565,52405,26624,562,454,131,524,289,10595,1124
vs Fortaleza,34,54.8,38.0,22836,2254,6992,11037,5077,704,22831,722,350,48.5,303,42.0,13185,70583,35429,635,510,108,617,311,14544,1440
vs Goiás,36,59.8,38.0,23709,1759,5745,10868,7330,1032,23700,586,305,52.0,237,40.4,14239,76563,41306,819,601,169,554,360,15848,1904
vs Internacional,37,50.0,38.0,22131,2042,6534,10514,5285,700,22126,709,309,43.6,349,49.2,12978,71967,39984,677,531,125,510,320,14447,1530
vs Juventude,45,54.2,38.0,23088,1965,6017,10966,6330,839,23079,638,304,47.6,297,46.6,13373,71444,38114,663,530,125,557,287,15277,1812
vs Palmeiras,35,45.7,38.0,19483,2572,7017,8648,4037,515,19481,622,333,53.5,264,42.4,10432,62347,34029,584,418,110,574,353,11597,1155
vs RB Bragantino,36,50.3,38.0,21825,2310,7015,9860,5201,724,21814,701,336,47.9,323,46.1,13287,74297,34704,595,492,137,555,292,13554,1451
vs Santos,40,51.9,38.0,22510,2161,6732,10363,5658,724,22503,739,404,54.7,294,39.8,13063,70780,37862,708,583,131,572,328,14593,1474
vs São Paulo,39,44.5,38.0,19731,2214,6308,9030,4630,629,19723,632,316,50.0,273,43.2,11317,62933,31884,602,482,113,562,309,12094,1262
