Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Ath Paranaense,31,38.0,1027,27.03,756,97,52,55,45,22,73,1.92,59,3,3,5,2,1
Atl Goianiense,40,38.0,946,24.89,657,104,46,64,59,16,44,1.16,28,3,2,7,4,0
Atlético Mineiro,36,38.0,931,24.5,697,56,43,59,64,12,76,2.0,45,5,3,10,13,0
Bahia,30,38.0,946,24.89,730,75,40,51,42,8,91,2.39,68,3,9,8,3,0
Botafogo (RJ),38,38.0,1040,27.37,756,104,51,72,45,12,101,2.66,66,12,4,11,5,3
Corinthians,43,38.0,986,25.95,706,97,46,59,57,21,97,2.55,64,8,6,7,8,4
Criciúma,34,38.0,868,22.84,608,87,44,71,43,15,69,1.82,40,7,5,15,2,0
Cruzeiro,39,38.0,896,23.58,683,66,43,52,34,18,74,1.95,59,1,5,7,0,2
Cuiabá,32,38.0,676,17.79,491,66,44,30,37,8,49,1.29,30,6,4,5,4,0
Flamengo,38,38.0,1028,27.05,784,71,44,62,40,27,111,2.92,75,7,6,9,11,3
Fluminense,39,38.0,807,21.24,600,67,41,50,36,13,53,1.39,39,2,5,5,1,1
Fortaleza,28,38.0,807,21.24,539,78,60,61,54,15,93,2.45,65,6,10,5,6,1
Grêmio,38,38.0,804,21.16,546,85,61,61,42,9,70,1.84,48,4,5,9,3,1
Internacional,37,38.0,966,25.42,697,79,68,60,43,19,92,2.42,60,2,9,13,7,1
Juventude,36,38.0,852,22.42,599,91,42,48,53,19,83,2.18,53,9,3,7,6,5
Palmeiras,32,38.0,1166,30.68,816,104,72,74,69,31,94,2.47,57,6,8,7,13,3
RB Bragantino,38,38.0,857,22.55,594,80,66,50,51,16,79,2.08,55,5,7,8,4,0
São Paulo,38,38.0,842,22.16,605,77,55,58,32,15,86,2.26,61,5,7,7,4,2
Vasco da Gama,40,38.0,785,20.66,590,59,46,49,23,18,75,1.97,55,4,5,6,3,2
Vitória,41,38.0,816,21.47,548,89,45,57,55,22,73,1.92,47,8,4,6,7,1
