Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs América (MG),36,38.0,37,462,159,34.4,12.16,4.18,0.07,0.21,19.5,22,3,4,46.8,43.8,0.1,-9.8,-9.8
vs Ath Paranaense,40,38.0,43,507,135,26.6,13.34,3.55,0.07,0.28,20.5,26,5,6,45.5,40.8,0.08,-2.5,-2.8
vs Atl Goianiense,31,38.0,35,533,145,27.2,14.03,3.82,0.06,0.21,18.8,16,4,6,50.6,45.7,0.09,-15.6,-14.7
vs Atlético Mineiro,35,38.0,32,361,113,31.3,9.5,2.97,0.08,0.26,21.6,20,3,5,34.0,30.2,0.08,-2.0,-1.2
vs Bahia,38,38.0,51,479,155,32.4,12.61,4.08,0.09,0.27,20.8,29,9,9,46.2,39.3,0.08,4.8,2.7
vs Ceará,38,38.0,37,517,138,26.7,13.61,3.63,0.07,0.25,19.6,19,3,6,49.9,45.2,0.09,-12.9,-11.2
vs Chapecoense,42,38.0,66,618,198,32.0,16.26,5.21,0.09,0.29,19.4,40,8,8,65.4,59.2,0.1,0.6,-1.2
vs Corinthians,33,38.0,36,460,157,34.1,12.11,4.13,0.07,0.21,20.5,19,3,3,37.0,35.0,0.08,-1.0,-2.0
vs Cuiabá,30,38.0,37,500,151,30.2,13.16,3.97,0.07,0.24,18.5,16,1,3,45.5,43.1,0.09,-8.5,-7.1
vs Flamengo,41,38.0,36,424,140,33.0,11.16,3.68,0.08,0.26,19.8,20,0,1,40.3,39.5,0.1,-4.3,-3.5
vs Fluminense,36,38.0,36,434,135,31.1,11.42,3.55,0.06,0.2,20.1,18,9,9,46.4,39.3,0.09,-10.4,-12.3
vs Fortaleza,28,38.0,43,449,145,32.3,11.82,3.82,0.08,0.25,20.4,24,7,9,48.2,41.3,0.09,-5.2,-5.3
vs Grêmio,39,38.0,50,413,154,37.3,10.87,4.05,0.11,0.3,20.6,37,4,5,43.2,39.2,0.1,6.8,6.8
vs Internacional,36,38.0,40,480,156,32.5,12.63,4.11,0.07,0.22,18.5,23,5,5,54.5,50.6,0.11,-14.5,-15.6
vs Juventude,35,38.0,42,458,127,27.7,12.05,3.34,0.08,0.3,19.8,27,4,5,42.4,38.4,0.09,-0.4,-0.4
vs Palmeiras,46,38.0,43,505,151,29.9,13.29,3.97,0.08,0.26,19.9,23,4,6,48.5,43.9,0.09,-5.5,-4.9
vs RB Bragantino,39,38.0,45,516,167,32.4,13.58,4.39,0.08,0.25,19.4,21,3,5,48.5,45.0,0.09,-3.5,-3.0
vs Santos,38,38.0,39,458,149,32.5,12.05,3.92,0.07,0.22,20.0,16,6,9,51.1,44.0,0.1,-12.1,-11.0
vs São Paulo,31,38.0,38,411,149,36.3,10.82,3.92,0.09,0.26,20.2,24,0,1,41.6,40.9,0.1,-3.6,-2.9
vs Sport Recife,38,38.0,34,563,173,30.7,14.82,4.55,0.05,0.17,20.3,19,5,5,50.7,46.9,0.08,-16.7,-17.9
