Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Ath Paranaense,3,38,38,3420,38.0,38,1.0,144,106,73.6,15,8,15,13,34.2,1,0,0,1,
vs Atl Goianiense,2,38,38,3418,38.0,40,1.05,147,108,75.5,12,14,12,12,31.6,4,4,0,0,0.0
vs Atlético Mineiro,3,38,38,3420,38.0,64,1.68,210,146,73.3,10,8,20,7,18.4,13,8,4,1,33.3
vs Bahia,3,38,38,3420,38.0,48,1.26,179,128,76.0,18,8,12,11,28.9,8,5,3,0,37.5
vs Botafogo (RJ),4,38,38,3420,38.0,32,0.84,150,118,82.7,21,12,5,14,36.8,7,6,0,1,0.0
vs Ceará,2,38,38,3419,38.0,54,1.42,155,102,69.0,14,10,14,8,21.1,7,6,1,0,14.3
vs Corinthians,2,38,38,3420,38.0,45,1.18,177,133,76.8,13,12,13,12,31.6,5,4,1,0,20.0
vs Coritiba,2,38,38,3420,38.0,31,0.82,109,78,76.1,21,10,7,15,39.5,6,5,0,1,0.0
vs Flamengo,4,38,38,3420,38.0,68,1.79,208,139,70.7,9,8,21,7,18.4,10,7,2,1,22.2
vs Fluminense,2,38,38,3420,38.0,55,1.45,148,95,66.9,10,10,18,7,18.4,7,6,1,0,14.3
vs Fortaleza,2,38,38,3419,38.0,34,0.89,125,90,76.8,17,11,10,18,47.4,8,5,2,1,28.6
vs Goiás,2,38,38,3420,38.0,41,1.08,134,94,72.4,19,10,9,11,28.9,5,4,1,0,20.0
vs Grêmio,3,38,38,3420,38.0,53,1.39,163,111,70.6,7,17,14,7,18.4,7,5,1,1,16.7
vs Internacional,3,38,38,3420,38.0,61,1.61,161,101,67.7,8,10,20,7,18.4,10,9,1,0,10.0
vs Palmeiras,3,38,38,3420,38.0,51,1.34,163,110,71.8,10,13,15,7,18.4,7,5,2,0,28.6
vs RB Bragantino,2,38,38,3420,38.0,50,1.32,186,134,75.3,11,14,13,9,23.7,8,4,2,2,33.3
vs Santos,3,38,38,3417,38.0,52,1.37,160,110,74.4,12,12,14,9,23.7,13,11,1,1,8.3
vs São Paulo,1,38,38,3420,38.0,59,1.55,194,134,72.7,8,12,18,5,13.2,7,6,1,0,14.3
vs Sport Recife,2,38,38,3420,38.0,31,0.82,98,67,76.5,20,6,12,19,50.0,8,8,0,0,0.0
vs Vasco da Gama,2,38,38,3420,38.0,37,0.97,137,100,75.2,17,11,10,15,39.5,4,3,0,1,0.0
