Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs América (MG),36,38.0,818,21.53,603,71,46,39,42,17,65,1.71,45,5,8,3,4,0
vs Ath Paranaense,40,38.0,870,22.89,648,77,32,50,49,14,70,1.84,49,5,2,10,4,0
vs Atl Goianiense,31,38.0,948,24.95,702,94,42,55,38,17,61,1.61,45,3,6,4,3,0
vs Atlético Mineiro,35,38.0,642,16.89,451,57,43,30,51,10,56,1.47,31,6,6,7,5,1
vs Bahia,38,38.0,862,22.68,643,68,46,33,58,14,90,2.37,53,6,8,10,11,2
vs Ceará,38,38.0,922,24.26,673,70,71,54,44,10,68,1.79,47,3,7,5,4,2
vs Chapecoense,42,38.0,1086,28.58,782,92,61,70,69,12,113,2.97,83,5,9,9,6,1
vs Corinthians,33,38.0,813,21.39,608,62,41,46,35,21,63,1.66,40,5,6,5,5,2
vs Cuiabá,30,38.0,910,23.95,711,76,41,31,41,10,69,1.82,60,1,3,3,2,0
vs Flamengo,41,38.0,738,19.42,492,71,65,46,54,10,61,1.61,38,5,8,9,1,0
vs Fluminense,36,38.0,774,20.37,561,66,50,39,52,6,64,1.68,47,3,4,2,8,0
vs Fortaleza,28,38.0,799,21.03,570,69,56,36,51,17,71,1.87,44,6,7,5,8,1
vs Grêmio,39,38.0,740,19.47,524,63,47,35,60,11,86,2.26,66,2,4,6,7,1
vs Internacional,36,38.0,870,22.89,599,82,72,44,60,13,71,1.87,45,6,8,5,7,0
vs Juventude,35,38.0,803,21.13,594,63,44,53,44,5,77,2.03,54,5,5,6,7,0
vs Palmeiras,46,38.0,887,23.34,611,95,56,59,55,11,73,1.92,47,4,6,9,7,0
vs RB Bragantino,39,38.0,901,23.71,641,90,50,49,53,18,74,1.95,44,5,6,10,4,5
vs Santos,38,38.0,813,21.39,598,74,34,46,49,12,64,1.68,39,7,2,8,7,1
vs São Paulo,31,38.0,725,19.08,515,62,44,41,50,13,66,1.74,44,8,4,3,7,0
vs Sport Recife,38,38.0,994,26.16,755,87,50,42,46,14,60,1.58,41,9,2,4,4,0
