Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs América (MG),3,38.0,40,5,1,6,0,48.4,0.22,8.4,0.22,183,539,34.0,821,167,42.5,36.3,327,58.1,43.1,609,25,4.1,39,1.03,14.9
vs Ath Paranaense,2,38.0,48,9,0,3,3,50.8,0.25,5.8,0.15,134,340,39.4,751,159,29.0,32.0,365,33.4,32.8,485,18,3.7,45,1.18,14.8
vs Atl Goianiense,4,38.0,39,2,1,3,1,43.1,0.26,5.1,0.14,185,488,37.9,703,143,40.4,36.6,357,57.1,43.4,584,28,4.8,25,0.66,10.8
vs Atlético Mineiro,2,38.0,45,5,2,3,2,52.3,0.27,9.3,0.25,155,482,32.2,737,171,38.7,35.9,393,50.1,40.9,622,40,6.4,28,0.74,12.4
vs Avaí,3,38.0,34,13,2,2,0,42.4,0.24,8.4,0.22,165,427,38.6,781,149,40.1,35.1,288,39.6,34.1,524,32,6.1,39,1.03,13.8
vs Botafogo (RJ),4,38.0,41,4,1,6,1,44.3,0.24,4.3,0.11,133,383,34.7,770,156,36.1,34.2,292,36.0,34.8,511,24,4.7,23,0.61,12.9
vs Ceará,3,38.0,34,5,2,6,2,40.7,0.21,8.7,0.23,171,478,35.8,725,122,45.9,36.8,317,45.7,37.5,639,36,5.6,26,0.68,11.7
vs Corinthians,3,38.0,44,3,1,7,2,41.3,0.28,-0.7,-0.02,189,485,39.0,794,152,44.7,37.7,265,49.1,38.3,473,34,7.2,25,0.66,12.3
vs Coritiba,3,38.0,39,4,1,2,0,39.7,0.25,0.7,0.02,142,298,47.7,758,162,27.6,31.4,283,31.4,32.6,611,38,6.2,25,0.66,11.9
vs Cuiabá,2,38.0,31,4,1,5,0,37.0,0.27,6.0,0.16,159,414,38.4,737,148,40.0,35.4,320,37.2,34.2,666,35,5.3,24,0.63,11.5
vs Flamengo,3,38.0,60,3,0,11,1,63.7,0.31,4.7,0.12,223,541,41.2,794,147,46.7,38.8,348,48.9,37.6,623,30,4.8,13,0.34,9.4
vs Fluminense,1,38.0,63,4,1,9,1,61.7,0.31,-0.3,-0.01,184,490,37.6,682,154,50.7,40.6,289,49.8,39.8,562,22,3.9,18,0.47,11.2
vs Fortaleza,3,38.0,46,2,2,2,1,51.5,0.28,6.5,0.17,160,437,36.6,776,147,36.9,34.1,327,46.2,38.7,518,32,6.2,22,0.58,12.6
vs Goiás,1,38.0,40,6,0,6,0,36.4,0.25,-3.6,-0.09,164,419,39.1,654,156,39.9,35.6,273,57.9,44.0,510,40,7.8,20,0.53,11.5
vs Internacional,2,38.0,58,8,0,5,0,63.0,0.3,5.0,0.13,145,325,44.6,741,157,30.8,32.0,282,34.4,33.0,514,26,5.1,23,0.61,11.8
vs Juventude,3,38.0,29,2,0,2,2,33.9,0.24,6.9,0.18,144,361,39.9,683,136,36.2,34.1,311,36.7,33.6,606,27,4.5,34,0.89,13.8
vs Palmeiras,3,38.0,66,7,0,20,2,74.4,0.29,10.4,0.27,165,434,38.0,814,171,34.4,34.5,414,37.2,35.0,698,35,5.0,33,0.87,11.6
vs RB Bragantino,2,38.0,49,4,2,7,1,47.1,0.25,-0.9,-0.02,186,517,36.0,878,170,40.3,36.8,368,44.3,37.6,661,29,4.4,40,1.05,11.8
vs Santos,2,38.0,44,3,1,6,2,47.3,0.28,5.3,0.14,160,384,41.7,764,164,34.3,34.2,293,41.6,36.2,568,38,6.7,29,0.76,12.0
vs São Paulo,3,38.0,55,5,0,7,0,51.7,0.29,-3.3,-0.09,172,472,36.4,740,127,43.6,38.2,306,48.7,39.7,628,24,3.8,33,0.87,15.1
