Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs América (MG),37,38.0,14426,18601,77.6,264731,97167,6143,7072,86.9,6321,7440,85.0,1659,3130,53.0,29,36.6,37.0,-7.6,430,1255,340,88,1646
vs Ath Paranaense,35,38.0,15045,18826,79.9,268466,100132,6554,7421,88.3,6451,7587,85.0,1609,2750,58.5,32,34.4,34.5,-2.4,425,1227,305,89,1568
vs Atl Goianiense,33,38.0,13804,17358,79.5,259868,91697,5782,6516,88.7,6038,7031,85.9,1740,3039,57.3,35,37.0,42.1,-2.0,441,1266,331,109,1546
vs Atlético Mineiro,32,38.0,11602,15100,76.8,210664,80478,5156,5968,86.4,4800,5709,84.1,1340,2527,53.0,27,24.0,21.4,3.0,273,938,190,59,1134
vs Avaí,45,38.0,13924,17630,79.0,250257,93601,6116,6941,88.1,5916,6942,85.2,1535,2772,55.4,35,40.8,42.4,-5.8,420,1197,353,104,1600
vs Botafogo (RJ),43,38.0,13650,17602,77.5,247752,89988,5876,6778,86.7,5753,6860,83.9,1612,2837,56.8,25,36.1,33.5,-11.1,330,1159,249,66,1447
vs Ceará,40,38.0,12873,16476,78.1,232895,85863,5694,6512,87.4,5335,6329,84.3,1479,2703,54.7,29,32.9,31.7,-3.9,391,1037,271,73,1325
vs Corinthians,42,38.0,13387,17094,78.3,243325,87354,5858,6728,87.1,5624,6632,84.8,1566,2824,55.5,24,28.8,28.6,-4.8,362,1121,258,88,1371
vs Coritiba,41,38.0,15782,19221,82.1,291124,100807,6608,7358,89.8,7036,8024,87.7,1812,2899,62.5,44,40.3,40.8,3.7,442,1367,320,90,1827
vs Cuiabá,35,38.0,16019,19659,81.5,288511,96309,6946,7709,90.1,6897,7897,87.3,1758,3040,57.8,25,31.3,37.3,-6.3,365,1337,273,92,1608
vs Flamengo,44,38.0,12080,15384,78.5,218630,83470,5279,6003,87.9,4938,5862,84.2,1451,2577,56.3,23,23.2,19.9,-0.2,305,922,216,59,1230
vs Fluminense,32,38.0,10708,14066,76.1,201674,74568,4473,5211,85.8,4457,5353,83.3,1475,2608,56.6,25,29.4,28.6,-4.4,327,962,241,68,1137
vs Fortaleza,34,38.0,14692,18570,79.1,262966,94950,6535,7418,88.1,6210,7337,84.6,1590,2842,55.9,25,32.3,31.9,-7.3,362,1166,263,83,1450
vs Goiás,36,38.0,15993,19714,81.1,282183,99436,7351,8143,90.3,6477,7563,85.6,1695,2915,58.1,35,42.8,44.1,-7.8,509,1532,401,120,1915
vs Internacional,37,38.0,14557,18109,80.4,263845,93866,6300,7189,87.6,6193,7140,86.7,1683,2798,60.2,21,34.1,33.3,-13.1,364,1233,255,86,1542
vs Juventude,45,38.0,15426,19014,81.1,283527,98453,6592,7470,88.2,6734,7731,87.1,1817,3002,60.5,48,43.0,41.1,5.0,470,1423,336,109,1826
vs Palmeiras,35,38.0,11735,15238,77.0,212913,86151,5275,6015,87.7,4767,5754,82.8,1397,2608,53.6,14,23.5,22.6,-9.5,320,949,187,52,1164
vs RB Bragantino,36,38.0,13670,17597,77.7,257341,92723,5353,6236,85.8,6279,7352,85.4,1694,3081,55.0,35,31.7,32.9,3.3,352,1156,276,76,1466
vs Santos,40,38.0,14698,18270,80.4,262381,94414,6627,7433,89.2,6111,7124,85.8,1594,2761,57.7,25,34.9,33.8,-9.9,431,1228,263,96,1484
vs São Paulo,39,38.0,12208,15661,78.0,223966,86190,5371,6129,87.6,4957,5830,85.0,1573,2840,55.4,27,28.1,27.5,-1.1,341,1004,258,74,1281
