Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs América (MG),46,27.5,38,3420,90,100,38.0,418,79,241,176,23,278,2.13,81,42,39,1.03,62.8,46.6,16.2,0.43
vs Ath Paranaense,40,27.6,38,3420,90,100,38.0,418,80,238,177,22,272,1.16,43,51,-8,-0.21,46.6,51.1,-4.5,-0.12
vs Atlético Mineiro,31,27.4,38,3420,90,100,38.0,418,82,242,177,23,273,1.03,32,52,-20,-0.53,40.9,46.5,-5.5,-0.15
vs Bahia,35,27.4,38,3420,90,100,38.0,418,81,239,179,24,273,1.63,53,50,3,0.08,51.2,50.6,0.6,0.02
vs Botafogo (RJ),36,27.4,38,3420,90,100,38.0,418,80,245,173,22,278,1.05,37,58,-21,-0.55,49.0,50.1,-1.0,-0.03
vs Corinthians,36,27.7,38,3420,90,100,38.0,418,79,242,174,20,276,1.32,48,47,1,0.03,49.6,40.5,9.1,0.24
vs Coritiba,47,27.5,38,3420,90,100,38.0,418,79,231,185,23,264,2.05,73,41,32,0.84,60.8,39.3,21.6,0.57
vs Cruzeiro,38,27.5,38,3420,90,100,38.0,418,81,239,179,25,271,1.39,32,35,-3,-0.08,42.2,48.9,-6.7,-0.18
vs Cuiabá,30,27.6,38,3420,90,100,38.0,418,80,227,187,23,260,1.42,39,40,-1,-0.03,42.1,38.7,3.4,0.09
vs Flamengo,32,27.5,38,3420,90,100,38.0,418,80,238,178,22,274,1.03,42,56,-14,-0.37,45.3,50.4,-5.2,-0.14
vs Fluminense,37,27.6,38,3420,90,100,38.0,418,80,236,181,21,274,1.32,47,51,-4,-0.11,48.6,49.9,-1.3,-0.03
vs Fortaleza,32,27.1,38,3420,90,100,38.0,418,82,229,186,26,259,1.34,44,45,-1,-0.03,43.7,51.5,-7.8,-0.2
vs Goiás,42,27.2,38,3420,90,100,38.0,418,80,236,179,23,272,1.71,53,36,17,0.45,45.9,36.6,9.3,0.24
vs Grêmio,44,27.6,38,3420,90,100,38.0,418,80,234,180,21,272,1.08,56,63,-7,-0.18,54.9,49.9,5.0,0.13
vs Internacional,35,27.6,38,3420,90,100,38.0,418,80,241,170,22,282,1.29,45,46,-1,-0.03,47.2,42.4,4.8,0.13
vs Palmeiras,33,27.4,38,3420,90,100,38.0,418,81,229,179,24,275,0.89,33,64,-31,-0.82,39.4,57.2,-17.8,-0.47
vs RB Bragantino,35,27.5,38,3420,90,100,38.0,418,77,243,176,23,269,1.08,35,49,-14,-0.37,42.8,57.9,-15.1,-0.4
vs Santos,46,27.6,38,3420,90,100,38.0,418,80,229,184,22,270,1.61,64,39,25,0.66,51.5,42.6,8.9,0.23
vs São Paulo,38,27.7,38,3420,90,100,38.0,418,80,240,177,21,273,1.32,38,40,-2,-0.05,36.7,49.5,-12.7,-0.33
vs Vasco da Gama,38,27.4,38,3420,90,100,38.0,418,80,233,181,20,271,1.58,51,41,10,0.26,46.2,47.6,-1.3,-0.03
