Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ath Paranaense,31,38.0,664,414,275,299,90,273,598,45.7,325,449,144,305,368,1032,841,9
Atl Goianiense,40,38.0,583,367,265,242,76,240,555,43.2,315,419,136,283,344,927,802,10
Atlético Mineiro,36,38.0,691,418,330,273,88,333,621,53.6,288,372,119,253,312,1003,781,5
Bahia,30,38.0,587,375,283,233,71,279,611,45.7,332,330,104,226,334,921,698,16
Botafogo (RJ),38,38.0,624,400,308,241,75,292,582,50.2,290,366,116,250,318,942,781,11
Corinthians,43,38.0,661,387,293,284,84,334,708,47.2,374,427,151,276,359,1020,812,11
Criciúma,34,38.0,645,405,347,225,73,329,705,46.7,376,478,162,316,335,980,978,13
Cruzeiro,39,38.0,600,389,250,266,84,289,582,49.7,293,393,112,281,301,901,753,18
Cuiabá,32,38.0,597,374,323,224,50,285,557,51.2,272,404,120,284,302,899,883,12
Flamengo,38,38.0,645,421,287,244,114,276,572,48.3,296,380,111,269,293,938,655,10
Fluminense,39,38.0,652,393,283,273,96,315,611,51.6,296,362,121,241,299,951,762,16
Fortaleza,28,38.0,654,404,316,280,58,297,633,46.9,336,464,150,314,329,983,906,19
Grêmio,38,38.0,653,389,309,266,78,291,570,51.1,279,419,151,268,322,975,807,6
Internacional,37,38.0,693,448,268,319,106,323,669,48.3,346,395,92,303,340,1033,761,14
Juventude,36,38.0,689,409,308,304,77,318,649,49.0,331,419,150,269,349,1038,761,13
Palmeiras,32,38.0,676,410,281,315,80,316,684,46.2,368,380,111,269,328,1004,677,8
RB Bragantino,38,38.0,666,440,328,256,82,314,598,52.5,284,399,142,257,336,1002,938,12
São Paulo,38,38.0,590,361,283,254,53,275,567,48.5,292,353,102,251,272,862,664,18
Vasco da Gama,40,38.0,731,485,371,289,71,347,677,51.3,330,415,135,280,351,1082,891,14
Vitória,41,38.0,656,406,341,259,56,322,619,52.0,297,419,147,272,360,1016,912,10
