Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Ath Paranaense,36,38.0,92,4,2,512,614,68,653,416,381,6,4,2,1694,636,619,50.7
vs Atlético Mineiro,32,38.0,79,1,1,501,494,40,801,386,347,6,8,1,1725,573,618,48.1
vs Avaí,42,38.0,65,4,1,587,529,42,717,435,427,7,5,1,1934,749,574,56.6
vs Bahia,31,38.0,82,6,2,483,550,68,743,404,357,4,10,1,1888,677,731,48.1
vs Botafogo (RJ),33,38.0,78,5,4,612,439,78,848,308,330,1,3,2,1702,619,665,48.2
vs Ceará,33,38.0,71,3,2,502,496,55,706,363,395,2,6,1,1882,672,628,51.7
vs Chapecoense,36,38.0,86,3,2,613,565,66,775,334,480,6,5,0,1920,638,658,49.2
vs Corinthians,33,38.0,98,6,3,580,451,70,681,331,436,5,4,1,1810,685,697,49.6
vs Cruzeiro,35,38.0,70,6,3,533,502,32,705,394,317,5,5,0,1825,641,640,50.0
vs CSA,40,38.0,69,6,5,500,544,50,838,300,312,3,5,0,1808,628,612,50.6
vs Flamengo,37,38.0,87,9,2,527,559,74,476,401,412,6,8,1,1685,526,624,45.7
vs Fluminense,39,38.0,95,3,2,566,499,43,551,411,424,2,5,3,1802,526,541,49.3
vs Fortaleza,32,38.0,94,7,6,565,456,58,848,312,345,6,9,2,1675,567,569,49.9
vs Goiás,39,38.0,85,6,2,606,508,55,829,314,362,3,4,2,1761,652,553,54.1
vs Grêmio,40,38.0,90,7,3,519,457,13,602,379,416,6,9,1,1888,540,536,50.2
vs Internacional,38,38.0,79,4,1,504,497,33,619,398,402,2,3,1,1930,626,638,49.5
vs Palmeiras,35,38.0,100,3,1,640,576,25,598,325,355,6,6,0,1677,536,673,44.3
vs Santos,30,38.0,111,6,3,608,546,51,613,387,408,2,7,2,1773,572,589,49.3
vs São Paulo,36,38.0,87,1,0,590,593,45,620,388,408,3,4,0,1823,594,600,49.7
vs Vasco da Gama,39,38.0,92,7,4,615,562,55,713,352,400,3,12,2,1771,707,597,54.2
