Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Ath Paranaense,31,38.0,601,379,303,239,59,280,579,48.4,299,365,140,225,330,931,924,5
vs Atl Goianiense,40,38.0,614,394,306,235,73,317,587,54.0,270,411,146,265,321,935,907,12
vs Atlético Mineiro,36,38.0,631,393,270,261,100,294,572,51.4,278,386,136,250,336,967,791,10
vs Bahia,30,38.0,617,387,290,257,70,299,588,50.9,289,380,116,264,363,980,720,13
vs Botafogo (RJ),38,38.0,642,369,349,238,55,254,549,46.3,295,454,149,305,305,947,926,14
vs Corinthians,43,38.0,677,414,324,272,81,307,624,49.2,317,396,135,261,355,1032,805,15
vs Criciúma,34,38.0,662,406,261,304,97,278,587,47.4,309,383,120,263,341,1003,687,13
vs Cruzeiro,39,38.0,599,367,268,247,84,314,620,50.6,306,450,123,327,346,945,847,10
vs Cuiabá,32,38.0,595,379,269,253,73,269,585,46.0,316,365,98,267,330,925,649,16
vs Flamengo,38,38.0,685,431,338,270,77,345,699,49.4,354,471,152,319,335,1020,887,16
vs Fluminense,39,38.0,872,563,389,345,138,431,809,53.3,378,391,108,283,357,1229,754,10
vs Fortaleza,28,38.0,559,368,238,257,64,239,541,44.2,302,357,126,231,275,834,719,11
vs Grêmio,38,38.0,797,499,410,325,62,364,780,46.7,416,418,131,287,323,1120,771,6
vs Internacional,37,38.0,678,433,350,263,65,326,678,48.1,352,413,138,275,368,1046,870,13
vs Juventude,36,38.0,561,345,227,243,91,249,509,48.9,260,427,110,317,285,846,736,8
vs Palmeiras,32,38.0,648,394,341,245,62,331,657,50.4,326,422,179,243,353,1001,1023,24
vs RB Bragantino,38,38.0,622,380,290,258,74,291,624,46.6,333,396,113,283,353,975,799,11
vs São Paulo,38,38.0,624,387,282,281,61,305,632,48.3,327,402,131,271,297,921,735,14
vs Vasco da Gama,40,38.0,601,374,274,257,70,258,545,47.3,287,406,110,296,294,895,770,9
vs Vitória,41,38.0,672,433,270,296,106,297,603,49.3,306,350,115,235,285,957,743,15
