Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Ath Paranaense,41,38.0,75,6,1,510,616,87,748,440,331,2,1,0,1730,452,485,48.2
vs Atl Goianiense,35,38.0,95,8,4,608,555,67,838,442,340,3,4,1,1702,596,553,51.9
vs Atlético Mineiro,34,38.0,82,2,2,522,526,60,528,450,306,3,13,4,1625,468,495,48.6
vs Bahia,39,38.0,88,6,3,583,530,59,810,409,343,4,8,0,1761,598,566,51.4
vs Botafogo (RJ),45,38.0,86,5,2,611,539,40,784,421,318,8,7,0,1757,600,555,51.9
vs Ceará,34,38.0,81,7,1,507,553,59,816,414,347,7,7,2,1705,588,619,48.7
vs Corinthians,36,38.0,67,5,0,551,596,80,758,477,348,2,5,1,1834,658,669,49.6
vs Coritiba,47,38.0,82,6,1,634,558,37,884,400,313,4,6,0,1775,558,530,51.3
vs Flamengo,38,38.0,111,4,1,648,603,63,536,516,383,3,10,1,1829,474,572,45.3
vs Fluminense,37,38.0,79,6,1,676,530,37,704,416,376,2,7,3,1844,592,558,51.5
vs Fortaleza,31,38.0,73,6,3,578,548,53,721,409,286,7,8,1,1567,545,627,46.5
vs Goiás,49,38.0,74,7,1,563,601,88,935,413,338,5,5,2,1854,616,688,47.2
vs Grêmio,37,38.0,93,8,2,634,479,41,561,464,362,4,7,2,1731,530,548,49.2
vs Internacional,39,38.0,95,3,1,587,635,52,625,413,324,4,10,2,1830,701,631,52.6
vs Palmeiras,36,38.0,92,7,3,594,606,38,635,419,274,2,7,0,1729,464,533,46.5
vs RB Bragantino,35,38.0,83,1,0,534,585,65,680,468,354,7,8,0,1895,529,526,50.1
vs Santos,40,38.0,104,9,4,715,563,57,667,412,310,7,13,3,1675,598,451,57.0
vs São Paulo,28,38.0,87,5,3,613,557,52,537,426,321,4,7,0,1679,498,545,47.7
vs Sport Recife,38,38.0,73,5,4,597,527,50,917,398,337,4,8,0,1814,582,561,50.9
vs Vasco da Gama,34,38.0,76,1,0,636,528,50,779,435,381,8,4,0,1809,540,475,53.2
