Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs América (MG),2,38.0,41,6,1,5,0,46.2,0.25,5.2,0.14,227,613,37.0,960,163,45.6,37.7,337,51.9,40.6,578,22,3.8,19,0.5,12.1
vs Ath Paranaense,2,38.0,41,2,2,3,0,33.6,0.23,-7.4,-0.19,168,441,38.1,806,149,34.1,33.0,334,49.7,40.1,603,20,3.3,40,1.05,15.5
vs Atl Goianiense,3,38.0,33,4,0,3,1,33.9,0.27,1.9,0.05,181,466,38.8,762,143,44.5,38.2,284,44.7,38.1,505,27,5.3,24,0.63,12.3
vs Atlético Mineiro,2,38.0,67,10,3,7,0,57.7,0.26,-9.3,-0.24,135,371,36.4,767,174,33.6,33.4,317,35.6,33.8,540,22,4.1,32,0.84,14.0
vs Bahia,3,38.0,42,4,0,6,0,42.9,0.26,0.9,0.02,159,466,34.1,769,147,39.7,35.6,282,57.1,41.8,646,20,3.1,31,0.82,13.7
vs Ceará,3,38.0,39,3,1,7,1,43.0,0.24,5.0,0.13,165,446,37.0,804,139,36.3,34.7,296,52.0,40.5,524,20,3.8,27,0.71,11.8
vs Chapecoense,3,38.0,27,4,1,0,1,35.2,0.25,9.2,0.24,144,338,42.6,737,158,34.9,34.0,234,34.6,32.5,578,42,7.3,22,0.58,11.5
vs Corinthians,2,38.0,40,5,1,4,1,40.2,0.24,1.2,0.03,183,386,47.4,794,120,36.3,34.1,246,39.8,35.1,512,34,6.6,21,0.55,11.8
vs Cuiabá,2,38.0,34,4,0,4,2,34.1,0.24,2.1,0.06,162,396,40.9,746,162,35.7,33.6,278,46.8,37.0,452,18,4.0,24,0.63,13.7
vs Flamengo,3,38.0,69,3,1,8,2,69.7,0.3,2.7,0.07,240,581,41.3,886,157,46.7,38.3,330,50.6,39.7,556,20,3.6,24,0.63,11.6
vs Fluminense,2,38.0,38,4,1,7,1,44.9,0.29,7.9,0.21,153,379,40.4,815,179,32.9,32.7,264,42.0,36.3,579,35,6.0,30,0.79,12.5
vs Fortaleza,2,38.0,44,4,0,6,1,46.9,0.23,3.9,0.1,192,528,36.4,858,155,42.8,37.1,310,51.9,40.4,484,21,4.3,27,0.71,12.7
vs Grêmio,3,38.0,44,3,2,3,1,44.6,0.23,1.6,0.04,180,475,37.9,823,149,39.4,34.7,324,46.6,36.3,617,28,4.5,26,0.68,12.3
vs Internacional,2,38.0,44,6,0,5,1,48.9,0.26,5.9,0.16,151,349,43.3,767,167,31.9,32.6,296,35.1,32.3,579,17,2.9,37,0.97,15.3
vs Juventude,2,38.0,36,5,1,4,2,35.2,0.25,1.2,0.03,131,358,36.6,712,133,33.4,33.5,274,43.8,36.2,506,25,4.9,25,0.66,12.6
vs Palmeiras,3,38.0,58,4,2,11,4,53.5,0.28,-0.5,-0.01,134,353,38.0,690,147,34.5,33.7,337,34.1,32.5,589,23,3.9,37,0.97,13.7
vs RB Bragantino,2,38.0,55,2,0,5,2,44.5,0.26,-8.5,-0.22,146,411,35.5,818,147,35.0,33.9,318,39.3,33.4,620,27,4.4,29,0.76,13.1
vs Santos,3,38.0,35,6,0,4,1,44.0,0.27,10.0,0.26,201,533,37.7,786,127,47.2,38.0,321,50.5,38.5,615,27,4.4,19,0.5,11.3
vs São Paulo,1,38.0,31,4,2,2,1,40.6,0.25,10.6,0.28,205,533,38.5,850,160,46.0,38.6,306,46.4,38.0,699,21,3.0,23,0.61,11.1
vs Sport Recife,2,38.0,24,3,2,1,0,33.0,0.22,9.0,0.24,104,333,31.2,712,150,32.2,32.7,276,37.7,34.2,557,22,3.9,29,0.76,13.5
