Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs América (MG),36,52.4,38.0,22376,2392,7391,10421,4835,699,22372,648,369,56.9,278,42.9,12812,66203,34815,639,458,151,681,331,13849,1388
vs Ath Paranaense,40,51.0,38.0,22613,2125,7057,10671,5125,608,22607,552,322,58.3,230,41.7,13247,65520,33199,639,469,118,546,269,15148,1515
vs Atl Goianiense,31,50.5,38.0,21914,1977,6202,9513,6450,844,21908,578,350,60.6,228,39.4,12485,67182,35075,743,607,161,619,302,14083,1658
vs Atlético Mineiro,35,43.7,38.0,20041,2219,6648,9514,4116,437,20036,692,410,59.2,281,40.6,11265,65944,34140,634,492,95,608,323,12525,1206
vs Bahia,38,53.0,38.0,22596,2154,6177,10653,6027,661,22587,632,372,58.9,259,41.0,13160,68984,37045,686,630,138,542,304,14620,1595
vs Ceará,38,53.4,38.0,21852,2116,6789,10238,5028,721,21846,680,422,62.1,258,37.9,12303,65331,35174,655,512,142,611,288,13902,1427
vs Chapecoense,42,57.8,38.0,24555,1905,6306,12076,6440,833,24547,642,395,61.5,247,38.5,14754,76397,42107,781,599,136,571,323,16713,1800
vs Corinthians,33,45.2,38.0,21985,2014,6221,10673,5331,563,21982,527,322,61.1,205,38.9,12759,68805,37736,665,539,96,581,303,14462,1419
vs Cuiabá,30,53.7,38.0,23065,1898,6206,11036,6032,762,23062,575,333,57.9,242,42.1,14198,71544,37767,695,552,132,644,321,15428,1716
vs Flamengo,41,41.0,38.0,19209,2468,7241,8228,4013,520,19208,699,412,58.9,287,41.1,10509,58619,29319,570,410,133,608,348,11335,1089
vs Fluminense,36,50.2,38.0,22124,2133,6396,10781,5174,568,22115,687,372,54.1,315,45.9,13468,71631,37322,635,509,98,609,333,14528,1527
vs Fortaleza,28,50.1,38.0,20440,2158,6485,9563,4639,570,20431,628,386,61.5,242,38.5,12123,63423,32295,601,468,120,638,277,12823,1236
vs Grêmio,39,48.1,38.0,21698,2399,7234,10428,4279,508,21693,673,383,56.9,290,43.1,12110,64432,33437,572,411,99,661,334,13753,1292
vs Internacional,36,49.2,38.0,21546,2085,6641,10242,4877,716,21541,697,411,59.0,287,41.2,11975,65005,34633,641,443,149,631,352,13546,1562
vs Juventude,35,55.6,38.0,23859,1779,6134,12302,5649,617,23854,628,371,59.1,256,40.8,13963,72062,37527,624,485,80,598,283,16444,1684
vs Palmeiras,46,49.8,38.0,21536,2120,6324,10202,5252,661,21530,640,370,57.8,270,42.2,12231,67086,35950,671,501,134,621,323,14030,1454
vs RB Bragantino,39,50.1,38.0,22111,2245,7054,9878,5414,736,22106,707,415,58.7,292,41.3,12611,61608,30926,635,457,142,590,320,14044,1544
vs Santos,38,46.4,38.0,20554,2197,6541,9341,4894,633,20545,613,341,55.6,272,44.4,11248,57815,28836,544,475,123,588,261,12597,1259
vs São Paulo,31,43.7,38.0,19358,2260,6472,8674,4453,556,19357,525,291,55.4,234,44.6,10503,56855,27796,522,442,96,637,313,11390,1112
vs Sport Recife,38,54.0,38.0,23560,1956,6169,11600,6034,782,23555,659,402,61.0,256,38.8,13881,72316,39767,718,565,167,559,308,15932,1743
