Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Ath Paranaense,31,46.9,38.0,20786,2103,5935,9754,5315,784,20784,625,298,47.7,280,44.8,11137,56823,29026,582,430,125,476,321,12800,1471
Atl Goianiense,40,47.4,38.0,20353,2145,6253,8869,5459,737,20348,632,270,42.7,317,50.2,10822,57685,29439,598,488,116,560,295,12489,1416
Atlético Mineiro,36,57.2,38.0,24139,2350,7445,11460,5426,644,24126,621,277,44.6,294,47.3,13607,70789,36221,605,512,107,592,337,16495,1533
Bahia,30,55.8,38.0,25054,2328,7731,11732,5812,752,25052,646,288,44.6,299,46.3,15248,77762,42170,736,563,136,508,316,17957,1738
Botafogo (RJ),38,53.8,38.0,22951,2102,6428,10989,5730,837,22945,601,295,49.1,254,42.3,13050,62853,32519,629,452,155,521,388,15368,1687
Corinthians,43,50.8,38.0,21612,2235,6886,9954,4995,753,21606,671,317,47.2,307,45.8,12114,61789,31780,620,457,140,549,368,13837,1426
Criciúma,34,42.9,38.0,19804,2402,6914,8459,4669,647,19804,649,310,47.8,278,42.8,10114,53644,26753,485,397,101,583,384,11798,1296
Cruzeiro,39,53.1,38.0,22879,2239,7005,10624,5448,687,22874,667,306,45.9,314,47.1,13095,68501,36205,642,532,113,513,285,15363,1437
Cuiabá,32,42.6,38.0,19387,2350,6790,8703,4112,529,19382,645,316,49.0,269,41.7,10182,53153,26448,486,348,91,514,326,12023,1106
Flamengo,38,55.8,38.0,23844,2111,6435,11133,6472,942,23833,777,354,45.6,346,44.5,13960,76215,40386,729,578,187,526,338,16297,1758
Fluminense,39,55.5,38.0,24572,2436,7701,11541,5518,628,24568,869,378,43.5,430,49.5,14189,69573,34828,629,456,146,595,442,16933,1373
Fortaleza,28,42.7,38.0,19190,2161,6039,9370,4003,600,19185,610,303,49.7,239,39.2,10140,55271,27789,544,401,148,528,320,11425,1156
Grêmio,38,46.0,38.0,20644,2212,6302,9335,5259,774,20641,826,416,50.4,364,44.1,11091,58688,28894,596,465,176,607,432,12829,1336
Internacional,37,52.7,38.0,22974,1867,6103,11016,6092,910,22966,722,351,48.6,326,45.2,12823,64238,32818,647,466,153,612,350,14820,1555
Juventude,36,47.1,38.0,20277,2543,7500,8829,4163,624,20276,553,259,46.8,247,44.7,10745,56873,28191,488,349,79,504,312,12451,1216
Palmeiras,32,53.7,38.0,22044,1887,5985,10458,5851,872,22035,722,326,45.2,331,45.8,11921,66757,35823,698,508,162,546,317,13817,1688
RB Bragantino,38,47.3,38.0,20203,2296,6434,8873,5109,678,20200,670,333,49.7,291,43.4,10462,55756,28911,563,470,159,572,333,11819,1250
São Paulo,38,57.5,38.0,24639,2327,7748,12033,5080,719,24635,677,327,48.3,305,45.1,14760,73713,36269,622,530,132,540,319,17672,1532
Vasco da Gama,40,48.9,38.0,21415,2245,6913,10081,4643,586,21412,578,286,49.5,259,44.8,11498,62251,31322,549,440,95,525,344,13628,1324
Vitória,41,42.4,38.0,19320,2325,6597,8907,4019,589,19313,666,306,45.9,297,44.6,10735,59170,29306,530,397,97,571,375,11669,1153
