Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs América (MG),46,56.9,38.0,24719,2223,6774,11734,6495,895,24711,774,426,55.0,266,34.4,14701,80992,43857,876,704,192,576,294,16410,1711
vs Ath Paranaense,40,51.5,38.0,22178,2354,6857,10338,5208,705,22171,645,303,47.0,281,43.6,12388,66072,34165,633,468,138,563,298,14178,1368
vs Atlético Mineiro,31,47.2,38.0,21387,1970,6158,10273,5219,678,21385,863,417,48.3,365,42.3,12111,67502,35788,638,544,102,584,388,13404,1449
vs Bahia,35,50.3,38.0,21997,2178,6390,10913,4914,675,21991,827,411,49.7,334,40.4,12119,66956,35388,676,497,141,496,358,13948,1421
vs Botafogo (RJ),36,51.9,38.0,22951,2165,6842,11164,5176,680,22950,751,360,47.9,313,41.7,13038,68164,35522,635,433,137,529,304,14993,1512
vs Corinthians,36,51.2,38.0,24061,1967,6027,11600,6686,848,24054,763,389,51.0,301,39.4,13957,76901,43189,824,640,153,545,306,16265,1733
vs Coritiba,47,56.1,38.0,23985,1967,6480,11604,6122,840,23975,822,388,47.2,343,41.7,14157,74790,38236,659,532,145,607,340,15835,1675
vs Cruzeiro,38,48.5,38.0,21347,2337,7056,9776,4758,630,21344,692,323,46.7,292,42.2,12237,65464,33868,645,470,128,526,322,13366,1365
vs Cuiabá,30,56.2,38.0,24499,2291,7151,11576,5978,713,24495,832,441,53.0,330,39.7,14206,73657,36090,639,521,134,519,315,16951,1739
vs Flamengo,32,42.6,38.0,20211,2422,6923,9054,4481,666,20204,797,401,50.3,311,39.0,11359,60204,30455,575,431,127,516,330,12527,1274
vs Fluminense,37,38.4,38.0,18394,2190,5956,7575,5077,806,18388,648,296,45.7,280,43.2,10150,55329,29017,621,496,172,513,266,10838,1151
vs Fortaleza,32,53.3,38.0,22899,2297,6919,11114,5116,668,22892,851,430,50.5,333,39.1,13351,73945,39420,725,539,134,562,339,14893,1430
vs Goiás,42,55.4,38.0,24087,2025,6681,11502,6129,840,24082,742,356,48.0,300,40.4,13982,73141,39563,661,479,152,590,306,15980,1745
vs Grêmio,44,53.3,38.0,24073,2182,6693,11288,6355,834,24068,783,426,54.4,287,36.7,14084,78679,42200,850,714,170,597,329,15684,1654
vs Internacional,35,48.4,38.0,21935,2039,6473,10604,5084,673,21928,758,359,47.4,323,42.6,12764,67790,34642,598,485,94,494,278,14127,1487
vs Palmeiras,33,47.3,38.0,20720,2478,6865,9607,4492,577,20715,744,372,50.0,290,39.0,11527,62813,32723,569,451,108,537,315,13055,1214
vs RB Bragantino,35,43.5,38.0,19384,2779,7902,7797,3933,648,19376,761,396,52.0,290,38.1,9343,51826,26770,529,348,164,672,354,10149,979
vs Santos,46,55.5,38.0,23508,2190,6656,11419,5680,768,23502,838,412,49.2,342,40.8,13618,69865,37258,640,522,123,553,338,15445,1504
vs São Paulo,38,40.5,38.0,18906,2245,6228,8288,4621,624,18897,719,352,49.0,295,41.0,10306,54384,27316,515,372,97,562,250,11285,1211
vs Vasco da Gama,38,52.0,38.0,22569,2152,6251,10734,5824,755,22565,773,404,52.3,277,35.8,13174,70649,37598,663,531,139,592,332,14571,1619
