Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Ath Paranaense,41,38.0,539,331,268,205,66,232,560,41.4,328,370,102,268,440,979,614,11
vs Atl Goianiense,35,38.0,538,340,287,194,57,242,581,41.7,339,383,104,279,442,980,673,5
vs Atlético Mineiro,34,38.0,526,306,294,187,45,258,622,41.5,364,401,153,248,450,976,911,10
vs Bahia,39,38.0,551,343,260,237,54,245,638,38.4,393,407,129,278,409,960,722,8
vs Botafogo (RJ),45,38.0,520,318,235,231,54,227,565,40.2,338,375,125,250,421,941,780,5
vs Ceará,34,38.0,536,347,266,224,46,230,585,39.3,355,329,103,226,414,950,576,15
vs Corinthians,36,38.0,547,348,254,231,62,216,556,38.8,340,377,116,261,477,1024,770,8
vs Coritiba,47,38.0,523,313,207,234,82,231,583,39.6,352,370,91,279,400,923,592,4
vs Flamengo,38,38.0,626,383,338,246,42,239,739,32.3,500,401,135,266,516,1142,788,9
vs Fluminense,37,38.0,649,376,266,284,99,242,637,38.0,395,365,109,256,416,1065,643,10
vs Fortaleza,31,38.0,477,286,217,200,60,217,635,34.2,418,299,95,204,409,886,682,6
vs Goiás,49,38.0,571,338,230,257,84,202,543,37.2,341,323,83,240,413,984,582,8
vs Grêmio,37,38.0,592,362,297,240,55,271,723,37.5,452,393,121,272,464,1056,660,5
vs Internacional,39,38.0,541,324,269,218,54,218,567,38.4,349,371,110,261,413,954,719,9
vs Palmeiras,36,38.0,459,274,215,198,46,181,532,34.0,351,345,116,229,419,878,684,10
vs RB Bragantino,35,38.0,568,354,288,222,58,246,622,39.5,376,431,150,281,468,1036,745,18
vs Santos,40,38.0,517,310,241,210,66,232,591,39.3,359,312,87,225,412,929,680,6
vs São Paulo,28,38.0,550,321,227,247,76,213,562,37.9,349,404,124,280,426,976,795,9
vs Sport Recife,38,38.0,542,337,265,202,75,228,502,45.4,274,418,104,314,398,940,637,4
vs Vasco da Gama,34,38.0,617,381,265,284,68,245,667,36.7,422,348,94,254,435,1052,608,8
