Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Ath Paranaense,31,38.0,919,24.18,655,79,63,69,42,11,74,1.95,47,5,6,12,3,1
vs Atl Goianiense,40,38.0,898,23.63,666,66,55,52,45,14,102,2.68,69,7,9,8,9,0
vs Atlético Mineiro,36,38.0,829,21.82,569,79,53,45,64,19,94,2.47,61,6,8,9,8,2
vs Bahia,30,38.0,837,22.03,602,63,52,55,48,17,84,2.21,57,5,4,9,8,1
vs Botafogo (RJ),38,38.0,815,21.45,577,81,42,45,58,12,48,1.26,31,2,3,5,5,2
vs Corinthians,43,38.0,924,24.32,660,91,55,52,47,19,76,2.0,52,5,7,5,4,3
vs Criciúma,34,38.0,1128,29.68,843,89,69,57,51,19,108,2.84,83,7,6,4,7,1
vs Cruzeiro,39,38.0,843,22.18,577,84,50,64,43,25,67,1.76,45,3,3,9,4,3
vs Cuiabá,32,38.0,988,26.0,729,110,35,59,46,9,87,2.29,58,5,4,10,9,1
vs Flamengo,38,38.0,769,20.24,558,69,40,54,34,14,74,1.95,54,6,4,7,3,0
vs Fluminense,39,38.0,867,22.82,624,74,46,55,40,28,61,1.61,28,7,5,9,8,4
vs Fortaleza,28,38.0,973,25.61,695,93,41,75,52,17,67,1.76,45,5,4,9,3,1
vs Grêmio,38,38.0,1039,27.34,762,85,47,84,40,21,84,2.21,53,7,6,10,7,1
vs Internacional,37,38.0,684,18.0,440,84,46,51,51,12,63,1.66,38,7,5,5,6,2
vs Juventude,36,38.0,1020,26.84,717,90,62,81,52,18,101,2.66,72,2,7,9,9,2
vs Palmeiras,32,38.0,799,21.03,578,72,57,38,38,16,61,1.61,44,4,7,2,3,1
vs RB Bragantino,38,38.0,937,24.66,713,86,33,52,38,15,78,2.05,59,5,2,9,2,1
vs São Paulo,38,38.0,773,20.34,542,70,48,52,41,20,64,1.68,40,4,4,10,3,3
vs Vasco da Gama,40,38.0,1036,27.26,780,88,49,55,48,16,98,2.58,72,8,7,9,1,1
vs Vitória,41,38.0,968,25.47,715,79,66,48,46,14,92,2.42,66,6,9,7,4,0
