Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
América (MG),4,38.0,81,5,3,6,3,72.9,0.31,-5.1,-0.13,184,427,43.1,629,180,44.0,37.0,307,48.9,39.2,691,57,8.2,35,0.92,6.8
Ath Paranaense,2,38.0,43,4,1,6,0,46.6,0.24,3.6,0.1,137,462,29.7,686,152,44.5,43.3,325,48.3,41.0,561,36,6.4,24,0.63,17.8
Atlético Mineiro,2,38.0,32,2,1,1,1,42.3,0.29,11.3,0.3,208,513,40.5,793,136,52.1,42.0,335,29.9,27.3,564,32,5.7,36,0.95,9.5
Bahia,3,38.0,53,6,1,4,1,59.4,0.29,7.4,0.2,200,512,39.1,884,141,42.2,23.7,277,50.2,40.4,466,28,6.0,39,1.03,
Botafogo (RJ),2,38.0,37,0,0,2,1,49.9,0.3,13.9,0.37,206,537,38.4,786,199,50.1,30.4,293,48.8,39.0,582,35,6.0,47,1.24,18.4
Corinthians,2,38.0,48,6,0,8,1,54.2,0.26,7.2,0.19,172,368,46.7,760,153,33.9,33.8,385,28.6,29.6,674,28,4.2,14,0.37,10.8
Coritiba,3,38.0,73,9,2,11,2,63.1,0.25,-7.9,-0.21,199,570,34.9,880,183,45.2,38.3,325,52.9,42.2,685,51,7.4,35,0.92,12.3
Cruzeiro,2,38.0,32,2,2,3,0,41.4,0.28,9.4,0.25,176,421,41.8,930,158,32.9,32.5,306,37.6,35.0,490,19,3.9,20,0.53,10.0
Cuiabá,2,38.0,39,4,0,3,2,44.2,0.27,7.2,0.19,192,424,45.3,708,148,37.6,39.2,289,54.7,41.5,590,38,6.4,15,0.39,6.3
Flamengo,3,38.0,42,6,0,3,0,46.5,0.24,4.5,0.12,153,399,38.3,1167,178,28.4,31.6,262,26.0,27.9,538,24,4.5,39,1.03,12.9
Fluminense,3,38.0,47,5,0,5,1,52.1,0.3,6.1,0.16,48,133,36.1,801,189,9.9,21.7,325,16.6,17.6,546,43,7.9,30,0.79,15.0
Fortaleza,3,38.0,44,3,0,10,2,44.4,0.25,2.4,0.06,141,410,34.4,582,165,39.2,36.5,295,61.7,43.5,530,35,6.6,9,0.24,10.7
Goiás,2,38.0,53,5,1,10,1,55.1,0.29,3.1,0.08,262,608,43.1,931,172,50.6,40.6,344,39.8,36.9,723,50,6.9,19,0.5,11.3
Grêmio,4,38.0,56,5,0,9,1,59.5,0.3,4.5,0.12,175,515,34.0,624,154,46.6,43.4,382,58.6,42.9,644,41,6.4,24,0.63,8.2
Internacional,3,38.0,45,6,2,5,1,51.7,0.28,7.7,0.2,125,395,31.6,710,144,38.7,34.2,300,40.0,36.5,623,31,5.0,35,0.92,13.8
Palmeiras,2,38.0,33,4,1,3,1,40.4,0.25,8.4,0.22,157,417,37.6,1007,216,33.0,34.0,282,30.1,31.5,443,39,8.8,20,0.53,12.8
RB Bragantino,2,38.0,35,7,0,4,1,43.9,0.28,9.9,0.26,165,491,33.6,885,171,45.6,29.9,293,29.7,30.7,440,16,3.6,70,1.84,17.4
Santos,2,38.0,64,4,2,9,3,59.5,0.28,-1.5,-0.04,145,446,32.5,675,133,41.5,28.5,291,57.0,44.2,598,25,4.2,23,0.61,9.4
São Paulo,2,38.0,38,8,1,1,1,43.3,0.27,6.3,0.17,157,398,39.4,961,168,31.0,35.5,274,36.5,34.2,502,22,4.4,30,0.79,15.2
Vasco da Gama,1,38.0,51,4,2,5,0,52.9,0.27,1.9,0.05,137,369,37.1,633,144,37.8,34.3,316,41.1,35.5,600,34,5.7,15,0.39,10.6
