Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs América (MG),46,38.0,620,371,288,254,78,315,676,46.6,361,393,125,268,337,957,724,6
vs Ath Paranaense,40,38.0,581,353,260,247,74,267,611,43.7,344,418,133,285,305,886,805,8
vs Atlético Mineiro,31,38.0,647,381,296,276,75,285,671,42.5,386,419,126,293,382,1029,689,6
vs Bahia,35,38.0,621,374,297,268,56,316,678,46.6,362,420,132,288,360,981,722,8
vs Botafogo (RJ),36,38.0,638,412,285,278,75,324,711,45.6,387,386,148,238,344,982,721,10
vs Corinthians,36,38.0,553,352,255,219,79,316,635,49.8,319,373,108,265,351,904,691,17
vs Coritiba,47,38.0,652,408,289,271,92,326,719,45.3,393,346,98,248,329,981,589,9
vs Cruzeiro,38,38.0,595,359,276,237,82,304,679,44.8,375,451,123,328,335,930,784,5
vs Cuiabá,30,38.0,511,324,247,210,54,218,555,39.3,337,389,123,266,298,809,750,9
vs Flamengo,32,38.0,670,428,369,242,59,327,736,44.4,409,450,143,307,354,1024,782,2
vs Fluminense,37,38.0,706,429,342,241,123,349,835,41.8,486,478,127,351,344,1050,763,6
vs Fortaleza,32,38.0,591,360,280,255,56,283,658,43.0,375,409,144,265,311,902,786,9
vs Goiás,42,38.0,635,396,293,252,90,284,611,46.5,327,439,140,299,340,975,720,8
vs Grêmio,44,38.0,630,418,315,263,52,313,672,46.6,359,444,126,318,434,1064,743,8
vs Internacional,35,38.0,568,344,247,258,63,274,637,43.0,363,410,114,296,321,889,640,5
vs Palmeiras,33,38.0,563,347,262,234,67,280,671,41.7,391,434,142,292,299,862,933,14
vs RB Bragantino,35,38.0,737,465,413,266,58,357,793,45.0,436,498,167,331,377,1114,902,13
vs Santos,46,38.0,690,406,307,308,75,352,744,47.3,392,402,113,289,307,997,695,5
vs São Paulo,38,38.0,692,413,326,272,94,332,799,41.6,467,454,138,316,361,1053,745,10
vs Vasco da Gama,38,38.0,615,415,260,281,74,331,724,45.7,393,394,113,281,309,924,847,7
