Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Flamengo,19,11,4,4,35,23,12,37,1.95,44.9,17.6,27.3,1.44,19,10,4,5,33,25,8,34,1.79,33.4,17.6,15.8,0.83
2,Internacional,19,12,5,2,34,17,17,41,2.16,29.4,18.7,10.7,0.56,19,8,5,6,27,18,9,29,1.53,25.9,17.5,8.4,0.44
3,Atlético Mineiro,19,14,4,1,41,13,28,46,2.42,37.1,18.1,19.0,1.0,19,6,4,9,23,32,-9,22,1.16,31.4,27.7,3.8,0.2
4,São Paulo,19,10,7,2,29,16,13,37,1.95,27.8,17.7,10.0,0.53,19,8,5,6,30,25,5,29,1.53,26.5,21.8,4.8,0.25
5,Fluminense,19,11,5,3,31,14,17,38,2.0,24.0,17.0,7.0,0.37,19,7,5,7,24,28,-4,26,1.37,17.3,27.9,-10.6,-0.56
6,Grêmio,19,10,6,3,34,23,11,36,1.89,28.0,18.2,9.8,0.52,19,4,11,4,19,17,2,23,1.21,26.3,23.6,2.7,0.14
7,Palmeiras,19,9,8,2,33,16,17,35,1.84,30.2,19.3,10.9,0.57,19,6,5,8,18,21,-3,23,1.21,22.4,19.8,2.6,0.14
8,Santos,19,9,7,3,35,23,12,34,1.79,30.0,25.1,4.8,0.25,19,5,5,9,17,28,-11,20,1.05,21.0,31.5,-10.6,-0.56
9,Ath Paranaense,19,9,5,5,20,13,7,32,1.68,24.4,18.8,5.6,0.29,19,6,3,10,18,23,-5,21,1.11,21.2,28.2,-7.0,-0.37
10,RB Bragantino,19,10,5,4,34,19,15,35,1.84,28.6,18.6,10.0,0.52,19,3,9,7,16,21,-5,18,0.95,24.7,24.6,0.0,0.0
11,Ceará,19,7,5,7,22,25,-3,26,1.37,28.3,23.8,4.6,0.24,19,7,5,7,32,26,6,26,1.37,23.5,28.8,-5.4,-0.28
12,Corinthians,19,8,7,4,29,23,6,31,1.63,26.3,24.9,1.4,0.07,19,5,5,9,16,22,-6,20,1.05,17.8,29.5,-11.7,-0.61
13,Atl Goianiense,19,6,9,4,24,21,3,27,1.42,24.4,29.3,-5.0,-0.26,19,6,5,8,16,24,-8,23,1.21,19.9,25.1,-5.2,-0.27
14,Bahia,19,9,2,8,27,26,1,29,1.53,29.3,28.9,0.5,0.03,19,3,6,10,21,33,-12,15,0.79,26.5,28.9,-2.4,-0.12
15,Sport Recife,19,8,2,9,19,23,-4,26,1.37,20.5,26.7,-6.2,-0.32,19,4,4,11,12,27,-15,16,0.84,14.2,31.3,-17.1,-0.9
16,Fortaleza,19,8,6,5,20,15,5,30,1.58,23.8,21.0,2.7,0.14,19,2,5,12,14,29,-15,11,0.58,19.4,26.8,-7.4,-0.39
17,Vasco da Gama,19,7,5,7,21,21,0,26,1.37,25.7,24.8,0.9,0.05,19,3,6,10,16,35,-19,15,0.79,15.4,31.6,-16.2,-0.85
18,Goiás,19,6,5,8,19,28,-9,23,1.21,17.9,26.3,-8.4,-0.44,19,3,5,11,22,35,-13,14,0.74,21.5,34.8,-13.3,-0.7
19,Coritiba,19,4,6,9,13,19,-6,18,0.95,18.4,25.2,-6.8,-0.36,19,3,4,12,18,35,-17,13,0.68,19.5,36.3,-16.7,-0.88
20,Botafogo (RJ),19,3,5,11,16,30,-14,14,0.74,30.0,29.2,0.8,0.04,19,2,7,10,16,32,-16,13,0.68,21.3,35.6,-14.3,-0.75
