Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Ath Paranaense,3,38.0,46,0,2,7,0,48.4,0.28,2.4,0.06,191,449,42.5,632,128,46.0,38.6,296,53.4,43.5,536,20,3.7,17,0.45,10.2
Atl Goianiense,2,38.0,58,6,2,6,2,55.0,0.27,-1.0,-0.03,189,484,39.0,786,135,39.6,35.8,300,57.7,44.2,520,43,8.3,32,0.84,15.3
Atlético Mineiro,3,38.0,54,5,0,6,1,56.8,0.31,3.8,0.1,137,326,42.0,891,155,26.4,25.6,268,34.0,31.6,486,22,4.5,36,0.95,13.0
Bahia,3,38.0,49,2,4,3,0,46.4,0.28,-2.6,-0.07,145,335,43.3,1181,218,22.3,27.6,250,28.8,25.9,534,52,9.7,82,2.16,22.0
Botafogo (RJ),2,38.0,29,5,0,2,0,38.2,0.25,9.2,0.24,143,376,38.0,938,132,28.0,32.5,280,40.4,35.1,517,26,5.0,49,1.29,9.8
Corinthians,4,38.0,45,6,1,4,2,49.4,0.24,6.4,0.17,134,361,37.1,791,176,32.5,31.3,282,36.9,34.5,547,23,4.2,22,0.58,12.1
Criciúma,2,38.0,61,4,4,5,1,63.5,0.29,3.5,0.09,184,470,39.1,690,145,44.8,38.3,356,45.2,38.2,654,28,4.3,14,0.37,8.9
Cruzeiro,2,38.0,41,2,2,4,1,49.9,0.29,9.9,0.26,80,220,36.4,766,179,21.8,30.7,280,18.9,24.0,553,21,3.8,22,0.58,12.9
Cuiabá,2,38.0,49,6,1,6,0,53.9,0.27,4.9,0.13,213,474,44.9,759,150,37.0,30.2,343,56.3,42.4,685,30,4.4,11,0.29,4.3
Flamengo,2,38.0,42,2,0,7,1,43.8,0.31,2.8,0.07,155,375,41.3,1070,157,28.8,29.6,242,27.7,28.7,470,51,10.9,23,0.61,13.7
Fluminense,2,38.0,39,4,0,5,0,53.1,0.29,14.1,0.37,88,305,28.9,653,159,31.7,38.4,301,32.6,25.7,545,28,5.1,29,0.76,19.0
Fortaleza,1,38.0,39,5,0,6,0,52.5,0.25,13.5,0.36,194,511,38.0,680,150,50.7,39.8,301,55.1,43.7,645,44,6.8,13,0.34,9.9
Grêmio,3,38.0,50,8,0,5,2,52.1,0.25,4.1,0.11,185,555,33.3,777,139,49.9,36.7,324,51.5,39.6,600,33,5.5,18,0.47,13.2
Internacional,3,38.0,36,4,0,7,0,36.8,0.24,0.8,0.02,153,453,33.8,783,137,43.0,38.6,227,51.1,40.3,501,37,7.4,47,1.24,9.4
Juventude,2,38.0,59,9,2,3,1,61.7,0.28,3.7,0.1,146,415,35.2,978,157,29.9,29.9,287,42.9,36.5,577,46,8.0,41,1.08,10.8
Palmeiras,2,38.0,33,1,2,5,1,41.4,0.27,9.4,0.25,153,482,31.7,909,181,42.0,24.7,248,40.3,38.7,450,41,9.1,27,0.71,8.0
RB Bragantino,3,38.0,48,1,0,6,1,56.5,0.3,9.5,0.25,152,490,31.0,899,177,44.0,33.1,299,31.4,33.0,653,34,5.2,62,1.63,7.0
São Paulo,2,38.0,43,3,0,6,3,34.6,0.22,-5.4,-0.14,157,370,42.4,913,160,29.8,33.9,279,35.1,33.0,472,30,6.4,17,0.45,11.2
Vasco da Gama,1,38.0,56,0,1,11,0,61.2,0.31,5.2,0.14,178,448,39.7,728,165,42.7,36.1,320,42.8,38.7,602,30,5.0,15,0.39,11.9
Vitória,2,38.0,52,3,1,8,2,44.8,0.26,-5.2,-0.14,137,453,30.2,850,120,36.5,42.9,288,49.7,42.1,666,31,4.7,15,0.39,12.0
