Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Atlético Mineiro,19,17,1,1,42,13,29,52,2.74,35.7,15.3,20.4,1.07,19,9,5,5,25,21,4,32,1.68,22.1,18.7,3.4,0.18
2,Flamengo,19,13,1,5,31,15,16,40,2.11,33.6,17.8,15.8,0.83,19,8,7,4,38,21,17,31,1.63,32.9,22.5,10.4,0.55
3,Palmeiras,19,11,3,5,33,26,7,36,1.89,34.1,22.5,11.6,0.61,19,9,3,7,25,17,8,30,1.58,22.2,25.9,-3.7,-0.2
4,Fortaleza,19,11,4,4,26,19,7,37,1.95,27.5,18.6,8.9,0.47,19,6,3,10,18,26,-8,21,1.11,23.0,29.6,-6.5,-0.34
5,Corinthians,19,10,5,4,26,18,8,35,1.84,24.5,16.7,7.9,0.41,19,5,7,7,14,18,-4,22,1.16,15.7,20.3,-4.6,-0.24
6,RB Bragantino,19,7,9,3,28,20,8,30,1.58,23.8,22.1,1.8,0.09,19,7,5,7,27,26,1,26,1.37,23.4,26.5,-3.1,-0.16
7,Fluminense,19,11,5,3,24,14,10,38,2.0,24.8,16.6,8.2,0.43,19,4,4,11,14,24,-10,16,0.84,19.5,29.8,-10.4,-0.55
8,América (MG),19,9,6,4,22,11,11,33,1.74,32.1,19.7,12.4,0.65,19,4,8,7,19,26,-7,20,1.05,24.0,27.2,-3.1,-0.17
9,Atl Goianiense,19,6,10,3,17,14,3,28,1.47,21.5,17.8,3.7,0.19,19,7,4,8,16,22,-6,25,1.32,15.5,32.8,-17.2,-0.91
10,Santos,19,9,6,4,21,14,7,33,1.74,25.9,23.3,2.6,0.14,19,3,8,8,14,26,-12,17,0.89,18.8,27.8,-9.0,-0.47
11,Ceará,19,10,7,2,24,14,10,37,1.95,26.5,21.5,4.9,0.26,19,1,10,8,15,24,-9,13,0.68,21.5,28.4,-6.9,-0.36
12,Internacional,19,8,6,5,29,22,7,30,1.58,28.8,26.3,2.5,0.13,19,4,6,9,15,20,-5,18,0.95,21.9,28.2,-6.3,-0.33
13,São Paulo,19,7,9,3,18,15,3,30,1.58,24.2,15.9,8.3,0.43,19,4,6,9,13,24,-11,18,0.95,21.3,25.7,-4.4,-0.23
14,Ath Paranaense,19,8,5,6,23,21,2,29,1.53,25.9,20.6,5.2,0.27,19,5,3,11,18,24,-6,18,0.95,15.9,24.8,-8.9,-0.47
15,Cuiabá,19,7,6,6,18,20,-2,27,1.42,23.7,19.5,4.2,0.22,19,3,11,5,16,17,-1,20,1.05,12.9,25.9,-13.0,-0.69
16,Juventude,19,9,6,4,19,15,4,33,1.74,20.9,16.9,3.9,0.21,19,2,7,10,17,29,-12,13,0.68,16.6,25.4,-8.8,-0.46
17,Grêmio,19,8,6,5,29,21,8,30,1.58,31.3,17.9,13.4,0.7,19,4,1,14,15,30,-15,13,0.68,19.3,25.3,-6.0,-0.32
18,Bahia,19,8,5,6,27,22,5,29,1.53,27.3,20.4,6.8,0.36,19,3,5,11,15,29,-14,14,0.74,18.3,25.8,-7.5,-0.39
19,Sport Recife,19,5,7,7,13,13,0,22,1.16,23.3,21.8,1.6,0.08,19,4,4,11,11,24,-13,16,0.84,16.5,28.9,-12.4,-0.65
20,Chapecoense,19,0,6,13,13,32,-19,6,0.32,20.1,29.5,-9.4,-0.5,19,1,6,12,14,35,-21,9,0.47,19.5,35.9,-16.4,-0.86
