Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
América (MG),46,43.0,38.0,19683,2157,6158,8825,4982,767,19677,752,361,48.0,315,41.9,10719,63532,33088,638,475,131,570,305,11376,1368
Ath Paranaense,40,48.5,38.0,21081,2178,6475,9972,4850,764,21077,673,344,51.1,267,39.7,11383,59033,29355,592,447,124,538,314,13041,1350
Atlético Mineiro,31,52.7,38.0,23506,2370,6974,11511,5279,642,23500,745,386,51.8,285,38.3,13672,73437,39054,669,552,146,577,362,15371,1387
Bahia,35,49.6,38.0,21858,2132,6538,10216,5355,748,21854,742,362,48.8,316,42.6,12253,67016,35897,688,539,121,575,305,13734,1494
Botafogo (RJ),36,48.1,38.0,21774,2064,6293,10672,5045,710,21767,798,387,48.5,324,40.6,12258,68833,34569,658,488,147,564,314,13797,1423
Corinthians,36,48.8,38.0,23228,2623,7680,10962,4801,621,23221,727,319,43.9,316,43.5,13335,66415,34280,649,461,121,535,237,15366,1366
Coritiba,47,43.9,38.0,19990,2496,7102,8900,4249,556,19981,809,393,48.6,326,40.3,10787,58728,29667,551,416,109,595,326,11717,1134
Cruzeiro,38,51.4,38.0,22263,2126,6453,10307,5733,682,22260,749,375,50.1,304,40.6,12538,68377,36612,636,490,131,583,291,14213,1636
Cuiabá,30,43.7,38.0,20078,2121,6179,9388,4728,595,20070,637,337,52.9,218,34.2,10754,58921,31417,577,451,112,583,293,12350,1349
Flamengo,32,57.4,38.0,25694,2159,6779,12312,6845,890,25685,815,409,50.2,327,40.1,15903,82055,43384,713,619,153,540,343,18086,1939
Fluminense,37,61.5,38.0,26737,2826,8645,11787,6537,779,26732,932,486,52.1,349,37.4,17303,87480,49595,847,603,167,547,357,19379,1615
Fortaleza,32,46.6,38.0,20510,1819,5635,10148,4982,761,20503,733,375,51.2,283,38.6,11470,66783,35390,695,482,162,475,308,12601,1444
Goiás,42,44.6,38.0,20123,2519,6843,8790,4692,667,20118,678,327,48.2,284,41.9,10517,56439,30656,523,431,103,574,351,12036,1275
Grêmio,44,46.7,38.0,21562,2132,5891,9976,5907,781,21555,736,359,48.8,313,42.5,11563,57745,29595,541,473,140,574,317,13197,1529
Internacional,35,51.6,38.0,23225,2098,6573,11777,5083,698,23221,710,363,51.1,274,38.6,13428,70277,36320,618,505,131,542,294,15431,1375
Palmeiras,33,52.7,38.0,22082,2045,6482,10284,5556,803,22078,752,391,52.0,280,37.2,12846,71906,38686,788,563,174,527,283,14426,1583
RB Bragantino,35,56.5,38.0,23580,1927,5931,10693,7202,870,23577,878,436,49.7,357,40.7,13242,71527,37053,721,614,166,655,380,14466,1752
Santos,46,44.4,38.0,19772,2018,6241,9013,4780,701,19766,842,392,46.6,352,41.8,10768,63461,32663,709,514,155,532,338,11634,1222
São Paulo,38,59.5,38.0,25509,2379,7557,12451,5732,766,25500,883,467,52.9,332,37.6,15476,78721,40197,694,541,138,506,360,18077,1655
Vasco da Gama,38,48.8,38.0,21555,2262,6853,9976,5010,722,21551,792,393,49.6,331,41.8,12357,68437,35587,664,513,119,541,284,13606,1345
