Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Ath Paranaense,31,38.0,12940,16585,78.0,246692,90957,5137,5898,87.1,5987,7043,85.0,1579,2893,54.6,35,37.8,35.7,-2.8,448,1200,307,99,1496
Atl Goianiense,40,38.0,12615,16234,77.7,238675,90421,5086,5892,86.3,5597,6602,84.8,1610,2876,56.0,16,27.5,30.7,-11.5,405,1259,266,96,1432
Atlético Mineiro,36,38.0,16634,20059,82.9,299833,100627,7250,8034,90.2,7360,8327,88.4,1730,2918,59.3,23,26.0,30.9,-3.0,357,1343,296,98,1545
Bahia,30,38.0,18086,21267,85.0,308995,104972,8166,8958,91.2,8006,8932,89.6,1447,2352,61.5,40,40.5,38.5,-0.5,414,1403,346,98,1746
Botafogo (RJ),38,38.0,15519,18939,81.9,284099,103800,6455,7261,88.9,7082,8011,88.4,1672,2768,60.4,41,41.1,40.6,-0.1,444,1415,352,105,1703
Corinthians,43,38.0,13954,17320,80.6,253864,93119,5843,6624,88.2,6211,7099,87.5,1538,2649,58.1,36,34.0,33.9,2.0,424,1163,303,88,1436
Criciúma,34,38.0,11892,15395,77.2,223634,87465,4912,5689,86.3,5083,6015,84.5,1575,2836,55.5,27,26.9,31.2,0.1,366,1054,264,91,1310
Cruzeiro,39,38.0,15498,18977,81.7,268110,91096,7141,7987,89.4,6402,7332,87.3,1501,2590,58.0,30,25.8,26.9,4.2,366,1229,289,73,1452
Cuiabá,32,38.0,12134,15383,78.9,223402,85628,5191,5908,87.9,5125,5977,85.7,1470,2598,56.6,16,20.9,20.7,-4.9,276,990,211,71,1123
Flamengo,38,38.0,16485,19837,83.1,286963,98174,7595,8421,90.2,6761,7686,88.0,1644,2621,62.7,42,38.9,41.2,3.1,435,1539,368,78,1774
Fluminense,39,38.0,17063,20314,84.0,274420,93795,8626,9410,91.7,6501,7345,88.5,1281,2353,54.4,26,27.4,26.1,-1.4,345,1294,210,77,1390
Fortaleza,28,38.0,11534,15022,76.8,217110,81558,4883,5594,87.3,4947,5920,83.6,1502,2850,52.7,38,31.6,25.0,6.4,330,1049,189,59,1169
Grêmio,38,38.0,12956,16402,79.0,226308,85342,5935,6758,87.8,5446,6411,84.9,1219,2361,51.6,28,29.9,34.8,-1.9,341,1007,285,54,1354
Internacional,37,38.0,14964,18667,80.2,261870,91858,6522,7399,88.1,6706,7789,86.1,1331,2478,53.7,33,40.1,40.7,-7.1,406,1286,337,85,1568
Juventude,36,38.0,12567,16155,77.8,238433,86733,4913,5705,86.1,5829,6823,85.4,1564,2755,56.8,40,33.6,30.9,6.4,372,950,230,88,1230
Palmeiras,32,38.0,13980,17787,78.6,260039,93935,5769,6621,87.1,6223,7264,85.7,1667,3029,55.0,35,47.4,38.5,-12.4,474,1349,327,105,1707
RB Bragantino,38,38.0,11963,15812,75.7,221722,83488,4950,5792,85.5,5130,6204,82.7,1521,2868,53.0,32,28.6,27.0,3.4,359,1061,233,65,1272
São Paulo,38,38.0,17823,20943,85.1,326844,106761,7219,7916,91.2,8280,9153,90.5,1931,2926,66.0,36,27.8,27.1,8.2,362,1369,273,82,1546
Vasco da Gama,40,38.0,13749,17265,79.6,249439,90265,6044,6838,88.4,5733,6669,86.0,1626,2786,58.4,32,27.0,30.2,5.0,330,1168,255,98,1330
Vitória,41,38.0,11780,15070,78.2,216332,78725,4826,5501,87.7,5416,6349,85.3,1253,2387,52.5,27,26.7,25.3,0.3,328,886,206,101,1167
