Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Ath Paranaense,36,43.2,38.0,18859,2383,6696,8439,3993,652,18851,549,343,62.5,206,37.5,9819,58171,30302,641,440,154,556,298,11201,1184
vs Atlético Mineiro,32,50.2,38.0,22081,2265,6255,10374,5664,726,22072,620,387,62.4,233,37.6,12747,74591,41591,831,693,152,523,323,14317,1596
vs Avaí,42,53.7,38.0,23394,1954,6301,11602,5737,794,23387,635,379,59.7,256,40.3,13240,74488,39875,733,540,143,604,363,15186,1731
vs Bahia,31,53.1,38.0,22744,2126,6463,11243,5312,640,22739,662,408,61.6,254,38.4,13594,72929,38265,696,592,142,560,364,14957,1527
vs Botafogo (RJ),33,50.6,38.0,21379,1811,5295,10044,6308,961,21375,653,402,61.6,251,38.4,12138,72034,40530,913,673,231,454,270,14268,1838
vs Ceará,33,54.4,38.0,23188,2213,6554,11580,5360,743,23186,733,477,65.1,256,34.9,13321,72515,38147,749,604,156,559,345,15208,1534
vs Chapecoense,36,55.5,38.0,22597,1821,5679,11568,5617,829,22587,632,395,62.5,237,37.5,13287,80276,45287,800,634,147,543,357,14787,1692
vs Corinthians,33,48.7,38.0,21345,2089,6030,10220,5341,660,21338,657,436,66.4,221,33.6,12117,68403,37231,782,665,153,555,327,13656,1439
vs Cruzeiro,35,47.8,38.0,21501,2217,6207,10361,5201,676,21494,659,394,59.8,265,40.2,11991,71834,40526,768,630,146,509,293,13796,1472
vs CSA,40,59.5,38.0,24996,1657,5409,12930,6915,884,24991,725,442,61.0,283,39.0,15326,84543,46190,831,699,188,477,310,17839,2028
vs Flamengo,37,41.6,38.0,18442,2429,6437,8626,3592,493,18434,678,385,56.8,293,43.2,10077,57310,29085,527,396,119,504,358,10885,1011
vs Fluminense,39,42.9,38.0,20358,2236,6016,9649,4940,671,20354,617,369,59.8,248,40.2,11485,66196,35714,709,583,149,505,312,12894,1351
vs Fortaleza,32,54.6,38.0,22365,1545,4900,11972,5731,782,22358,515,335,65.0,180,35.0,13358,75501,40949,763,610,133,518,302,15532,1685
vs Goiás,39,57.8,38.0,23141,2101,6533,11119,5735,894,23135,803,517,64.4,285,35.5,12914,75255,41499,853,616,188,501,301,15558,1823
vs Grêmio,40,43.4,38.0,20542,2103,6041,10112,4661,610,20533,645,383,59.4,262,40.6,11730,68164,36552,691,578,123,511,356,13136,1363
vs Internacional,38,46.5,38.0,21756,2203,6227,10838,4959,632,21751,668,369,55.2,299,44.8,12197,69969,36827,703,611,125,554,364,13814,1438
vs Palmeiras,35,50.5,38.0,20984,2216,6415,10194,4623,470,20976,589,332,56.4,257,43.6,12630,74360,40650,730,637,100,531,375,13731,1300
vs Santos,30,43.8,38.0,18689,2178,5977,8626,4347,562,18686,735,468,63.7,267,36.3,10026,57729,31089,631,486,130,489,354,11023,1155
vs São Paulo,36,46.7,38.0,20997,2104,6041,10730,4454,584,20993,574,319,55.6,255,44.4,12015,64469,34509,619,494,100,550,380,13302,1353
vs Vasco da Gama,39,55.4,38.0,22940,1997,6051,12045,5114,701,22936,669,420,62.8,249,37.2,13370,75610,41522,730,564,140,521,341,15339,1579
