Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
vs América (MG),34,38.0,46,518,172,33.2,13.63,4.53,0.08,0.23,,6,7
vs Ath Paranaense,34,38.0,34,515,166,32.2,13.55,4.37,0.05,0.15,,9,10
vs Atlético Mineiro,32,38.0,39,467,152,32.5,12.29,4.0,0.07,0.22,,5,6
vs Bahia,36,38.0,40,418,137,32.8,11.0,3.61,0.09,0.28,,2,3
vs Botafogo (RJ),34,38.0,45,511,170,33.3,13.45,4.47,0.08,0.24,,4,6
vs Ceará,41,38.0,37,519,158,30.4,13.66,4.16,0.07,0.22,,2,2
vs Chapecoense,37,38.0,50,501,163,32.5,13.18,4.29,0.09,0.29,,3,4
vs Corinthians,38,38.0,34,532,178,33.5,14.0,4.68,0.06,0.17,,4,4
vs Cruzeiro,35,38.0,32,411,127,30.9,10.82,3.34,0.07,0.22,,4,5
vs Flamengo,32,38.0,29,476,140,29.4,12.53,3.68,0.06,0.19,,2,4
vs Fluminense,38,38.0,45,478,156,32.6,12.58,4.11,0.09,0.26,,4,7
vs Grêmio,39,38.0,26,381,107,28.1,10.03,2.82,0.07,0.24,,0,0
vs Internacional,32,38.0,27,468,129,27.6,12.32,3.39,0.05,0.19,,3,3
vs Palmeiras,29,38.0,26,396,126,31.8,10.42,3.32,0.06,0.19,,2,2
vs Paraná,50,38.0,57,489,177,36.2,12.87,4.66,0.1,0.28,,8,9
vs Santos,35,38.0,40,489,145,29.7,12.87,3.82,0.08,0.26,,2,2
vs São Paulo,38,38.0,32,428,122,28.5,11.26,3.21,0.07,0.25,,2,3
vs Sport Recife,36,38.0,57,533,187,35.1,14.03,4.92,0.1,0.28,,5,8
vs Vasco da Gama,42,38.0,45,499,147,29.5,13.13,3.87,0.09,0.29,,2,3
vs Vitória,46,38.0,59,535,185,34.6,14.08,4.87,0.1,0.3,,3,6
