Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ath Paranaense,31,38.0,39,587,184,31.3,15.45,4.84,0.06,0.21,18.6,17,1,2,47.0,45.5,0.08,-8.0,-7.5
Atl Goianiense,40,38.0,28,531,163,30.7,13.97,4.29,0.05,0.15,19.1,11,3,5,40.6,36.5,0.07,-12.6,-11.5
Atlético Mineiro,36,38.0,47,505,149,29.5,13.29,3.92,0.07,0.24,21.6,42,11,13,46.0,35.9,0.07,1.0,0.1
Bahia,30,38.0,49,512,172,33.6,13.47,4.53,0.09,0.27,17.8,23,2,2,51.3,49.9,0.1,-2.3,-2.9
Botafogo (RJ),38,38.0,58,570,200,35.1,15.0,5.26,0.09,0.27,18.2,21,4,6,57.3,52.8,0.09,0.7,1.2
Corinthians,43,38.0,54,553,192,34.7,14.55,5.05,0.09,0.26,19.3,26,5,6,49.1,44.4,0.08,4.9,4.6
Criciúma,34,38.0,42,504,166,32.9,13.26,4.37,0.08,0.25,19.5,16,0,0,37.4,37.4,0.08,4.6,4.6
Cruzeiro,39,38.0,43,492,152,30.9,12.95,4.0,0.08,0.26,20.0,18,4,5,40.0,36.1,0.07,3.0,2.9
Cuiabá,32,38.0,28,379,111,29.3,9.97,2.92,0.06,0.22,19.6,15,4,5,31.9,28.0,0.08,-3.9,-4.0
Flamengo,38,38.0,60,559,199,35.6,14.71,5.24,0.09,0.26,19.0,17,9,11,56.4,47.7,0.09,3.6,3.3
Fluminense,39,38.0,31,449,154,34.3,11.82,4.05,0.07,0.19,19.6,14,1,4,37.6,34.4,0.08,-6.6,-4.4
Fortaleza,28,38.0,51,451,141,31.3,11.87,3.71,0.11,0.34,19.2,26,3,5,43.6,39.7,0.09,7.4,8.3
Grêmio,38,38.0,42,446,156,35.0,11.74,4.11,0.09,0.25,18.1,22,3,3,43.4,41.1,0.09,-1.4,-2.1
Internacional,37,38.0,52,542,186,34.3,14.26,4.89,0.09,0.26,18.1,13,4,8,58.4,52.0,0.1,-6.4,-4.0
Juventude,36,38.0,48,491,171,34.8,12.92,4.5,0.1,0.28,19.3,19,0,1,42.9,42.1,0.09,5.1,5.9
Palmeiras,32,38.0,58,664,212,31.9,17.47,5.58,0.08,0.24,19.5,40,8,9,67.0,60.4,0.09,-9.0,-10.4
RB Bragantino,38,38.0,44,494,159,32.2,13.0,4.18,0.08,0.26,20.0,22,3,3,39.4,37.0,0.08,4.6,4.0
São Paulo,38,38.0,51,468,153,32.7,12.32,4.03,0.1,0.31,18.3,9,3,4,40.3,37.0,0.08,10.7,11.0
Vasco da Gama,40,38.0,42,437,136,31.1,11.5,3.58,0.09,0.3,18.7,8,1,3,36.8,34.4,0.08,5.2,6.6
Vitória,41,38.0,44,456,146,32.0,12.0,3.84,0.08,0.25,19.6,17,7,7,42.5,37.2,0.08,1.5,-0.2
