Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Ath Paranaense,3,38,38,3420,38.0,51,1.34,212,163,77.4,10,10,18,7,18.4,4,3,0,1,0.0
vs Atlético Mineiro,3,38,38,3420,38.0,45,1.18,197,150,79.7,16,9,13,11,28.9,8,5,3,0,37.5
vs Avaí,3,38,38,3420,38.0,18,0.47,111,93,87.4,24,11,3,21,55.3,5,4,1,0,20.0
vs Bahia,2,38,38,3416,38.0,44,1.16,158,114,77.8,13,13,12,9,23.7,10,9,1,0,10.0
vs Botafogo (RJ),2,38,38,3420,38.0,31,0.82,125,96,77.6,21,4,13,19,50.0,3,3,0,0,0.0
vs Ceará,3,38,38,3419,38.0,36,0.95,165,128,80.0,19,9,10,16,42.1,6,3,2,1,40.0
vs Chapecoense,2,38,38,3420,38.0,31,0.82,142,110,81.0,20,11,7,15,39.5,5,4,1,0,20.0
vs Corinthians,3,38,38,3420,38.0,42,1.11,147,106,74.1,10,14,14,10,26.3,4,4,0,0,0.0
vs Cruzeiro,2,38,38,3420,38.0,27,0.71,152,125,84.9,16,15,7,16,42.1,5,4,0,1,0.0
vs CSA,2,38,38,3420,38.0,24,0.63,116,91,82.8,22,8,8,20,52.6,5,4,1,0,20.0
vs Flamengo,3,38,38,3420,38.0,86,2.26,217,130,63.1,4,6,28,4,10.5,8,6,2,0,25.0
vs Fluminense,4,38,38,3420,38.0,38,1.0,180,144,81.1,16,10,12,13,34.2,5,4,1,0,20.0
vs Fortaleza,2,38,38,3420,38.0,50,1.32,148,99,71.6,15,8,15,10,26.3,9,8,1,0,11.1
vs Goiás,3,38,38,3419,38.0,46,1.21,146,102,71.2,16,7,15,9,23.7,4,4,0,0,0.0
vs Grêmio,3,38,38,3414,38.0,64,1.69,189,125,69.8,11,8,19,8,21.1,9,7,1,1,12.5
vs Internacional,2,38,38,3420,38.0,44,1.16,177,133,75.7,13,9,16,11,28.9,3,1,1,1,50.0
vs Palmeiras,3,38,38,3420,38.0,61,1.61,211,149,73.5,6,11,21,4,10.5,6,5,1,0,16.7
vs Santos,2,38,38,3420,38.0,60,1.58,208,149,73.6,8,8,22,10,26.3,7,5,1,1,16.7
vs São Paulo,2,38,38,3420,38.0,39,1.03,171,131,78.9,9,12,17,14,36.8,4,3,1,0,25.0
vs Vasco da Gama,3,38,38,3420,38.0,39,1.03,159,118,80.5,13,13,12,10,26.3,12,8,4,0,33.3
