Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Ath Paranaense,36,38.0,32,455,142,31.2,11.97,3.74,0.06,0.18,19.1,23,6,8,49.8,43.7,0.1,-17.8,-17.7
vs Atlético Mineiro,32,38.0,48,532,166,31.2,14.0,4.37,0.08,0.25,19.9,31,7,9,50.3,43.4,0.08,-2.3,-2.4
vs Avaí,42,38.0,61,540,190,35.2,14.21,5.0,0.1,0.28,18.7,29,7,7,57.9,52.4,0.1,3.1,1.6
vs Bahia,31,38.0,43,504,154,30.6,13.26,4.05,0.08,0.25,20.7,41,4,5,47.4,43.4,0.09,-4.4,-4.4
vs Botafogo (RJ),33,38.0,43,659,192,29.1,17.34,5.05,0.06,0.21,19.4,32,3,4,62.9,59.9,0.09,-19.9,-19.9
vs Ceará,33,38.0,40,504,146,29.0,13.26,3.84,0.08,0.26,18.7,26,2,2,53.4,51.8,0.11,-13.4,-13.8
vs Chapecoense,36,38.0,51,600,179,29.8,15.79,4.71,0.08,0.25,19.8,37,6,10,67.7,59.8,0.1,-16.7,-14.8
vs Corinthians,33,38.0,33,485,138,28.5,12.76,3.63,0.06,0.2,20.8,22,5,7,42.8,37.2,0.08,-9.8,-9.2
vs Cruzeiro,35,38.0,46,496,146,29.4,13.05,3.84,0.08,0.29,20.2,27,4,7,51.4,45.9,0.1,-5.4,-3.9
vs CSA,40,38.0,55,671,218,32.5,17.66,5.74,0.08,0.24,20.3,43,2,5,65.6,61.8,0.09,-10.6,-8.8
vs Flamengo,37,38.0,36,391,135,34.5,10.29,3.55,0.08,0.22,20.3,26,6,8,42.8,36.5,0.09,-6.8,-6.5
vs Fluminense,39,38.0,46,500,173,34.6,13.16,4.55,0.08,0.24,19.9,28,4,4,53.0,49.9,0.1,-7.0,-7.9
vs Fortaleza,32,38.0,48,523,164,31.4,13.76,4.32,0.08,0.26,18.7,23,5,7,62.1,57.0,0.11,-14.1,-14.0
vs Goiás,39,38.0,63,564,203,36.0,14.84,5.34,0.11,0.3,18.4,20,3,6,63.4,58.6,0.11,-0.4,1.4
vs Grêmio,40,38.0,36,472,148,31.4,12.42,3.89,0.06,0.18,20.5,33,9,9,42.4,35.5,0.08,-6.4,-8.5
vs Internacional,38,38.0,38,495,165,33.3,13.03,4.34,0.07,0.21,20.4,29,4,5,47.5,44.0,0.09,-9.5,-10.0
vs Palmeiras,35,38.0,31,390,133,34.1,10.26,3.5,0.06,0.18,22.6,32,7,8,33.6,27.3,0.07,-2.6,-3.3
vs Santos,30,38.0,32,449,132,29.4,11.82,3.47,0.07,0.23,21.1,32,2,3,39.8,37.5,0.09,-7.8,-7.5
vs São Paulo,36,38.0,29,470,140,29.8,12.37,3.68,0.05,0.18,20.7,31,4,4,42.3,39.2,0.08,-13.3,-14.2
vs Vasco da Gama,39,38.0,42,515,151,29.3,13.55,3.97,0.07,0.25,19.5,25,4,4,53.7,50.6,0.1,-11.7,-12.6
