Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs América (MG),37,38.0,998,26.26,711,90,56,60,64,17,69,1.82,53,4,2,8,2,0
vs Ath Paranaense,35,38.0,978,25.74,704,96,51,52,59,16,78,2.05,47,10,4,11,6,0
vs Atl Goianiense,33,38.0,985,25.92,732,91,54,53,42,13,94,2.47,59,8,9,13,4,1
vs Atlético Mineiro,32,38.0,628,16.53,435,58,43,32,45,15,66,1.74,47,0,5,6,5,3
vs Avaí,45,38.0,1007,26.5,698,107,55,62,64,21,95,2.5,52,9,8,17,7,2
vs Botafogo (RJ),43,38.0,823,21.66,592,70,40,64,42,15,70,1.84,53,2,5,8,2,0
vs Ceará,40,38.0,925,24.34,656,96,46,50,63,14,67,1.76,39,6,4,8,10,0
vs Corinthians,42,38.0,841,22.13,606,75,50,47,46,17,58,1.53,32,5,5,7,6,3
vs Coritiba,41,38.0,980,25.79,719,88,62,55,48,8,101,2.66,63,8,11,8,10,1
vs Cuiabá,35,38.0,868,22.84,630,76,46,51,50,15,71,1.87,46,2,6,11,6,0
vs Flamengo,44,38.0,739,19.45,508,76,52,37,52,14,63,1.66,44,1,2,7,9,0
vs Fluminense,32,38.0,764,20.11,549,86,27,48,33,21,66,1.74,50,5,1,4,2,4
vs Fortaleza,34,38.0,831,21.87,573,99,51,44,55,9,63,1.66,45,3,4,4,6,1
vs Goiás,36,38.0,1209,31.82,924,96,49,71,57,12,93,2.45,72,4,4,7,4,2
vs Internacional,37,38.0,839,22.08,592,88,42,49,57,11,56,1.47,32,7,4,6,7,0
vs Juventude,45,38.0,1064,28.0,790,93,59,52,51,19,113,2.97,84,6,4,12,6,1
vs Palmeiras,35,38.0,750,19.74,538,64,50,39,44,15,43,1.13,27,3,3,3,6,1
vs RB Bragantino,36,38.0,873,22.97,602,97,48,56,54,16,101,2.66,65,8,5,10,11,2
vs Santos,40,38.0,1032,27.16,747,90,60,63,61,11,67,1.76,53,3,1,6,4,0
vs São Paulo,39,38.0,810,21.32,555,75,57,44,59,20,73,1.92,44,4,7,9,8,1
