Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
vs Ath Paranaense,35,26.8,38,3420,90,100,38.0,418,82,,112,21,305,1.42,43,45,-2,-0.05
vs Atl Goianiense,33,26.7,38,3420,90,100,38.0,418,84,,112,26,303,1.82,56,38,18,0.47
vs Atlético Mineiro,39,26.6,38,3420,90,100,38.0,418,83,,113,22,302,1.26,49,52,-3,-0.08
vs Avaí,29,26.7,38,3420,90,100,38.0,418,84,,114,25,297,1.53,48,29,19,0.5
vs Bahia,33,26.8,38,3420,90,100,38.0,418,83,,113,24,304,1.39,48,50,-2,-0.05
vs Botafogo (RJ),37,26.8,38,3420,90,100,38.0,418,84,,113,23,308,1.32,42,45,-3,-0.08
vs Chapecoense,38,26.8,38,3420,90,100,38.0,418,85,,111,24,302,1.34,49,47,2,0.05
vs Corinthians,32,27.3,38,3420,90,100,38.0,418,85,,111,22,307,0.87,30,50,-20,-0.53
vs Coritiba,35,27.0,38,3420,90,100,38.0,418,83,,111,22,310,1.61,51,42,9,0.24
vs Cruzeiro,35,26.9,38,3420,90,100,38.0,418,84,,112,23,298,1.18,39,47,-8,-0.21
vs Flamengo,33,27.1,38,3420,90,100,38.0,418,84,,113,24,305,1.24,38,49,-11,-0.29
vs Fluminense,38,27.0,38,3420,90,100,38.0,418,85,,111,24,308,1.39,53,50,3,0.08
vs Grêmio,49,26.8,38,3420,90,100,38.0,418,85,,113,22,305,1.16,36,55,-19,-0.5
vs Palmeiras,32,26.7,38,3420,90,100,38.0,418,84,,112,22,300,1.18,45,61,-16,-0.42
vs Ponte Preta,39,26.6,38,3420,90,100,38.0,418,83,,109,23,300,1.74,52,37,15,0.39
vs Santos,41,26.9,38,3420,90,100,38.0,418,85,,112,21,288,1.03,32,42,-10,-0.26
vs São Paulo,41,27.0,38,3420,90,100,38.0,418,84,,113,23,304,1.39,49,48,1,0.03
vs Sport Recife,35,26.7,38,3420,90,100,38.0,418,83,,113,24,290,1.58,58,46,12,0.32
vs Vasco da Gama,39,27.0,38,3420,90,100,38.0,418,82,,112,22,288,1.24,47,40,7,0.18
vs Vitória,37,26.7,38,3420,90,100,38.0,418,84,,114,25,301,1.61,58,50,8,0.21
