Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
vs Ath Paranaense,41,38.0,87,9,5,,,,,,,,,1
vs Atlético Mineiro,28,38.0,82,4,2,,,,,,,,,6
vs Avaí,36,38.0,91,5,2,,,,,,,,,1
vs Chapecoense,33,38.0,103,7,3,,,,,,,,,0
vs Corinthians,32,38.0,100,6,4,,,,,,,,,2
vs Coritiba,44,38.0,105,5,2,,,,,,,,,1
vs Cruzeiro,37,38.0,93,4,1,,,,,,,,,3
vs Figueirense,38,38.0,99,3,2,,,,,,,,,1
vs Flamengo,36,38.0,98,5,2,,,,,,,,,0
vs Fluminense,39,38.0,109,5,5,,,,,,,,,1
vs Goiás,35,38.0,97,8,2,,,,,,,,,2
vs Grêmio,34,38.0,109,7,4,,,,,,,,,2
vs Internacional,38,38.0,100,7,4,,,,,,,,,0
vs Joinville,46,38.0,80,2,1,,,,,,,,,1
vs Palmeiras,39,38.0,115,5,3,,,,,,,,,1
vs Ponte Preta,37,38.0,95,3,2,,,,,,,,,2
vs Santos,36,38.0,109,7,5,,,,,,,,,1
vs São Paulo,35,38.0,79,3,1,,,,,,,,,0
vs Sport Recife,28,38.0,94,7,5,,,,,,,,,1
vs Vasco da Gama,41,38.0,99,7,4,,,,,,,,,0
