Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Ath Paranaense,31,27.5,38,3420,90,100,38.0,418,80,236,180,21,265,1.66,46,40,6,0.16,46.7,47.0,-0.3,-0.01
vs Atl Goianiense,40,27.6,38,3420,90,100,38.0,418,80,227,186,22,257,1.97,58,29,29,0.76,52.3,40.6,11.7,0.31
vs Atlético Mineiro,36,28.0,38,3420,90,100,38.0,418,81,231,185,19,260,1.39,54,47,7,0.18,45.5,46.0,-0.5,-0.01
vs Bahia,30,27.6,38,3420,90,100,38.0,418,80,227,186,20,259,1.39,49,49,0,0.0,43.2,51.3,-8.2,-0.21
vs Botafogo (RJ),38,27.7,38,3420,90,100,38.0,418,80,236,179,21,256,0.66,29,59,-30,-0.79,35.2,57.3,-22.1,-0.58
vs Corinthians,43,27.8,38,3420,90,100,38.0,418,80,231,182,21,256,1.24,45,54,-9,-0.24,43.1,49.1,-6.0,-0.16
vs Criciúma,34,27.7,38,3420,90,100,38.0,418,81,232,184,20,261,1.71,61,42,19,0.5,56.6,37.4,19.2,0.5
vs Cruzeiro,39,27.8,38,3420,90,100,38.0,418,81,230,183,24,262,1.37,41,43,-2,-0.05,45.4,40.0,5.4,0.14
vs Cuiabá,32,27.5,38,3420,90,100,38.0,418,81,234,184,24,261,1.89,49,29,20,0.53,49.4,31.9,17.5,0.46
vs Flamengo,38,27.7,38,3420,90,100,38.0,418,82,231,181,20,261,0.89,42,61,-19,-0.5,40.2,56.4,-16.2,-0.43
vs Fluminense,39,27.5,38,3420,90,100,38.0,418,81,239,180,21,266,1.53,39,33,6,0.16,43.6,37.6,6.0,0.16
vs Fortaleza,28,27.3,38,3420,90,100,38.0,418,81,233,183,25,258,0.92,39,53,-14,-0.37,49.1,43.6,5.5,0.15
vs Grêmio,38,27.6,38,3420,90,100,38.0,418,81,235,182,22,265,1.58,50,44,6,0.16,49.4,43.4,6.0,0.16
vs Internacional,37,27.6,38,3420,90,100,38.0,418,80,242,173,23,266,1.0,36,53,-17,-0.45,33.5,58.4,-25.0,-0.66
vs Juventude,36,27.7,38,3420,90,100,38.0,418,79,239,177,23,270,1.5,59,48,11,0.29,59.0,42.9,16.1,0.42
vs Palmeiras,32,27.7,38,3420,90,100,38.0,418,81,237,180,22,258,0.89,33,60,-27,-0.71,36.4,67.0,-30.6,-0.81
vs RB Bragantino,38,27.7,38,3420,90,100,38.0,418,78,236,182,22,263,1.47,48,44,4,0.11,48.1,39.4,8.8,0.23
vs São Paulo,38,27.7,38,3420,90,100,38.0,418,82,227,185,22,261,1.24,43,53,-10,-0.26,35.4,40.3,-5.0,-0.13
vs Vasco da Gama,40,27.7,38,3420,90,100,38.0,418,79,235,182,22,260,1.47,56,43,13,0.34,52.7,36.8,15.9,0.42
vs Vitória,41,27.9,38,3420,90,100,38.0,418,78,233,186,23,260,1.55,52,45,7,0.18,44.3,42.5,1.8,0.05
