Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Kieza,br BRA,FW,29.0,35,3128.0,89.0,91.5,34.8,35,89.0,33.0,0,,0,1.2,46.0,47.0,-1.0,-0.03,0.28,Matches
Diego Renan,br BRA,"DF,MF",26.0,33,2907.0,88.0,85.0,32.3,33,88.0,31.0,0,,2,1.09,46.0,51.0,-5.0,-0.15,-0.68,Matches
Willian Farias,br BRA,MF,26.0,33,2883.0,87.0,84.3,32.0,33,87.0,30.0,0,,0,1.27,43.0,41.0,2.0,0.06,0.73,Matches
Fernando Miguel,br BRA,GK,30.0,31,2758.0,89.0,80.6,30.6,31,89.0,30.0,0,,1,1.26,40.0,40.0,0.0,0.0,0.27,Matches
Ramon Menezes Roma,br BRA,"DF,MF",20.0,29,2522.0,87.0,73.7,28.0,29,87.0,27.0,0,,8,1.17,33.0,38.0,-5.0,-0.18,-0.48,Matches
Marinho,br BRA,"FW,MF",25.0,27,2259.0,84.0,66.1,25.1,27,84.0,19.0,0,,0,1.26,38.0,33.0,5.0,0.2,0.74,Matches
Kanu,br BRA,DF,31.0,26,2261.0,87.0,66.1,25.1,25,90.0,25.0,1,10.0,8,1.35,39.0,35.0,4.0,0.16,0.63,Matches
Victor Ramos Ferreira,br BRA,DF,26.0,25,2242.0,90.0,65.6,24.9,25,90.0,24.0,0,,1,1.24,35.0,37.0,-2.0,-0.08,-0.08,Matches
Euller,br BRA,DF,21.0,27,1773.0,66.0,51.8,19.7,19,82.0,13.0,8,27.0,10,1.33,27.0,23.0,4.0,0.2,0.53,Matches
Marcelo Santos,br BRA,MF,21.0,22,1573.0,72.0,46.0,17.5,18,83.0,11.0,4,19.0,11,1.32,22.0,22.0,0.0,0.0,0.1,Matches
Amaral,br BRA,MF,27.0,21,1403.0,67.0,41.0,15.6,18,77.0,8.0,3,9.0,12,1.48,14.0,24.0,-10.0,-0.64,-1.0,Matches
Sherman Cárdenas,co COL,MF,26.0,20,1437.0,72.0,42.0,16.0,17,78.0,5.0,3,39.0,0,1.15,24.0,22.0,2.0,0.13,0.31,Matches
