Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
9,Cruzeiro,38,14,10,14,43,41,2,52,1.37,40.0,45.4,-5.4,-0.14,33066,Matheus Pereira - 8,Cássio,
10,Vasco da Gama,38,14,8,16,43,56,-13,50,1.32,36.8,52.7,-15.9,-0.42,19072,Pablo Vegetti - 12,Léo Jardim,
11,Vitória,38,13,8,17,45,52,-7,47,1.24,42.5,44.3,-1.8,-0.05,23381,Alerrandro - 15,Lucas Arcanjo,
12,Atlético Mineiro,38,11,14,13,47,54,-7,47,1.24,46.0,45.5,0.5,0.01,27355,Hulk - 10,Éverson,
13,Fluminense,38,12,10,16,33,39,-6,46,1.21,37.6,43.6,-6.0,-0.16,34193,Jhon Arias - 7,Fábio,
