Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Jeferson,br BRA,"DF,FW",21.0,27.7,11,1,1,37,31,3,66,74,49,0,0,0,Matches
Ramon Menezes Roma,br BRA,"DF,MF",22.0,25.1,7,0,0,42,24,0,8,53,24,0,0,1,Matches
Neílton,br BRA,"FW,MF",23.0,24.5,7,1,0,50,58,6,79,10,25,1,0,0,Matches
Ronaldo,br BRA,GK,21.0,20.0,1,0,0,0,4,0,0,2,0,0,0,0,Matches
Aderlan Santos,br BRA,DF,28.0,18.4,4,0,0,27,12,1,3,45,14,0,1,2,Matches
Yago,br BRA,MF,22.0,17.2,4,1,0,24,54,1,55,21,21,1,0,0,Matches
Rhayner,br BRA,"FW,MF",27.0,16.6,6,1,0,34,41,0,25,35,31,0,1,0,Matches
Rodrigo Andrade,br BRA,MF,20.0,14.6,6,0,0,27,20,0,12,12,19,0,0,0,Matches
Willian Farias,br BRA,MF,28.0,16.8,2,0,0,21,14,1,1,23,17,0,0,0,Matches
Lucas Ribeiro,br BRA,DF,19.0,15.3,4,1,0,16,9,1,0,28,13,0,0,0,Matches
Leo Gomes,br BRA,MF,20.0,14.6,5,0,0,36,13,3,7,19,15,0,0,1,Matches
Leonardo,br BRA,FW,22.0,14.2,3,0,0,31,44,8,15,4,12,1,0,0,Matches
Lucas Fernandes,br BRA,"FW,MF",23.0,16.8,4,0,0,20,99,2,57,12,24,1,1,0,Matches
Kanu,br BRA,DF,33.0,14.0,9,0,0,22,7,2,1,25,13,0,1,0,Matches
Erick,br BRA,"FW,MF",20.0,13.7,3,0,0,15,42,4,85,10,15,0,0,0,Matches
André Lima,br BRA,FW,32.0,11.5,3,0,0,36,30,4,5,5,4,0,0,0,Matches
Fabiano,br BRA,DF,27.0,10.9,2,0,0,22,4,0,24,18,14,0,0,0,Matches
Arouca,br BRA,"DF,MF",31.0,9.0,4,0,0,16,9,1,3,7,7,0,0,0,Matches
Wallyson,br BRA,"FW,MF",29.0,11.2,2,0,0,6,15,2,89,5,6,0,0,0,Matches
Elias Martello Curzel,br BRA,GK,22.0,8.0,0,0,0,1,4,0,0,1,2,0,0,0,Matches
Marcelo Benitez,ar ARG,"DF,MF",27.0,7.1,3,0,0,18,5,0,51,13,12,0,0,0,Matches
Walter Bou,ar ARG,"FW,MF",24.0,5.4,2,0,0,11,8,1,4,1,5,0,0,0,Matches
Ruan,br BRA,DF,24.0,6.4,3,0,0,17,0,0,0,14,8,0,0,0,Matches
Bryan Silva Garcia,br BRA,DF,25.0,5.5,3,1,1,10,13,0,31,9,8,0,0,0,Matches
Marcelo Meli,ar ARG,MF,25.0,5.3,3,0,0,13,10,0,2,3,11,0,0,0,Matches
Lucas Marques,br BRA,DF,29.0,5.9,0,0,0,9,6,1,19,9,2,0,0,0,Matches
Cedric,br BRA,DF,19.0,5.3,0,0,0,2,2,0,7,11,11,0,0,0,Matches
José Welison,br BRA,MF,22.0,5.2,1,0,0,15,1,0,12,11,4,0,0,0,Matches
Denílson,br BRA,FW,22.0,5.1,0,0,0,11,3,3,7,0,0,0,0,0,Matches
Caíque,br BRA,GK,20.0,5.0,1,0,0,1,1,0,0,1,0,0,1,0,Matches
João Gabriel,br BRA,GK,25.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,Matches
Pedro Botelho,br BRA,"DF,MF",28.0,4.5,0,0,0,3,0,0,7,14,3,0,0,0,Matches
Uillian Correia,br BRA,MF,28.0,4.5,1,0,0,12,1,0,0,2,3,0,0,0,Matches
Fillipe Soutto,br BRA,MF,26.0,4.5,1,0,0,9,4,0,2,5,3,0,1,0,Matches
Luan,br BRA,FW,18.0,4.4,2,0,0,7,12,0,4,5,11,0,0,0,Matches
Bruno Bispo,br BRA,DF,21.0,4.6,2,0,0,10,0,0,5,14,11,0,0,0,Matches
Lucas Marques,br BRA,MF,22.0,3.2,1,0,0,9,2,0,1,5,4,0,0,0,Matches
Walisson Maia,br BRA,DF,26.0,2.0,1,0,0,3,1,0,0,8,3,0,0,0,Matches
Guilherme Costa,br BRA,MF,23.0,1.9,0,0,0,8,11,0,13,1,2,0,0,0,Matches
Mauricio Plenckauskas Cordeiro,br BRA,FW,25.0,1.7,1,1,0,7,0,0,0,0,1,0,0,0,Matches
Mateus Rodrigues,br BRA,DF,18.0,1.0,0,0,0,0,0,0,6,7,0,0,0,0,Matches
Alexander Baumjohann,de GER,MF,31.0,0.8,0,0,0,4,1,0,3,0,0,0,0,0,Matches
Eron,br BRA,FW,19.0,0.9,0,0,0,1,2,2,1,0,0,0,0,0,Matches
Nickson,br BRA,MF,20.0,0.7,0,0,0,0,3,0,7,0,1,0,0,0,Matches
Juninho,br BRA,DF,28.0,0.5,0,0,0,0,0,0,5,0,0,0,0,0,Matches
Todinho Júnior,br BRA,"FW,MF",24.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,24.6,38.0,112,7,2,663,620,46,722,542,429,4,6,4,
Opponent Total,,,27.1,38.0,89,6,2,663,634,78,748,476,463,4,5,4,
