Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
17,Sport Recife,38,11,9,18,35,57,-22,42,1.11,16215,Gabriel - 5,Magrão,Relegated
18,América (MG),38,10,10,18,30,47,-17,40,1.05,6619,Rafael Moura - 7,João Ricardo Riedi,Relegated
19,Vitória,38,9,10,19,36,63,-27,37,0.97,9217,Neílton - 7,Ronaldo,Relegated
20,Paraná,38,4,11,23,18,57,-39,23,0.61,6223,Alex Santana - 4,Richard,Relegated
