Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Fernando Miguel,br BRA,GK,31.0,29,29,2610,29.0,42,1.45,136,99,72.1,8,8,13,7,24.1,5,4,1,0,20.0,Matches
Caíque,br BRA,GK,19.0,9,9,810,9.0,16,1.78,43,29,67.4,3,2,4,0,0.0,2,2,0,0,0.0,Matches
Squad Total,,,26.6,38,38,3420,38.0,58,1.53,179,128,70.9,11,10,17,7,18.4,7,6,1,0,14.3,
Opponent Total,,,26.7,38,38,3420,38.0,50,1.32,147,103,69.4,17,10,11,8,21.1,8,5,1,2,16.7,
