Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lucas Arcanjo,br BRA,GK,25.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wagner,br BRA,DF,24.0,36,36,3156.0,35.1,5.0,0.0,5.0,4.0,1.0,1.0,5.0,1.0,4.7,3.9,0.4,4.3,23.0,103.0,4.0,0.14,0.0,0.14,0.11,0.11,0.13,0.01,0.14,0.11,0.12,Matches
Lucas Esteves,br BRA,DF,23.0,34,32,2932.0,32.6,1.0,4.0,5.0,1.0,0.0,0.0,10.0,0.0,1.6,1.6,3.0,4.6,46.0,108.0,126.0,0.03,0.12,0.15,0.03,0.15,0.05,0.09,0.14,0.05,0.14,Matches
Matheusinho,br BRA,"MF,FW",26.0,33,32,2469.0,27.4,5.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,3.5,3.5,3.4,6.9,55.0,98.0,114.0,0.18,0.18,0.36,0.18,0.36,0.13,0.13,0.25,0.13,0.25,Matches
Alerrandro,br BRA,FW,24.0,34,32,2387.0,26.5,15.0,4.0,19.0,11.0,4.0,4.0,4.0,0.0,11.0,7.8,2.8,10.6,16.0,55.0,87.0,0.57,0.15,0.72,0.41,0.57,0.41,0.11,0.52,0.3,0.4,Matches
Willian,br BRA,MF,30.0,35,30,2649.0,29.4,5.0,1.0,6.0,5.0,0.0,0.0,8.0,0.0,4.1,4.1,1.2,5.3,11.0,102.0,46.0,0.17,0.03,0.2,0.17,0.2,0.14,0.04,0.18,0.14,0.18,Matches
Luan Silva,br BRA,MF,24.0,25,22,1585.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,0.2,0.6,6.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Matches
Willean Lepo,br BRA,DF,27.0,28,20,1789.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,1.5,2.4,52.0,78.0,50.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches
Raúl Cáceres,py PAR,DF,32.0,23,19,1695.0,18.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,2.4,2.5,50.0,49.0,111.0,0.0,0.16,0.16,0.0,0.16,0.01,0.13,0.13,0.01,0.13,Matches
Osvaldo,br BRA,"MF,FW",36.0,19,17,1072.0,11.9,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.4,1.7,1.6,3.3,29.0,37.0,91.0,0.17,0.0,0.17,0.08,0.08,0.21,0.14,0.34,0.14,0.27,Matches
Neris,br BRA,DF,31.0,16,16,1359.0,15.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.2,0.2,0.0,0.2,9.0,37.0,0.0,0.07,0.0,0.07,0.07,0.07,0.02,0.0,0.02,0.02,0.02,Matches
Janderson,br BRA,"FW,MF",24.0,28,14,1396.0,15.5,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,2.1,2.1,1.6,3.7,39.0,23.0,87.0,0.19,0.06,0.26,0.19,0.26,0.13,0.1,0.24,0.13,0.24,Matches
Ricardo,br BRA,MF,29.0,19,14,1043.0,11.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.8,5.0,54.0,12.0,0.0,0.09,0.09,0.0,0.09,0.02,0.05,0.07,0.02,0.07,Matches
Léo Naldi,br BRA,MF,22.0,21,11,1103.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.2,0.6,13.0,45.0,18.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Gustavo Mosquito,br BRA,"FW,MF",26.0,13,10,797.0,8.9,1.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,2.1,1.4,2.0,3.3,23.0,22.0,48.0,0.11,0.23,0.34,0.0,0.23,0.24,0.22,0.46,0.15,0.38,Matches
Machado,br BRA,MF,28.0,18,9,822.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.5,0.8,3.0,39.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.09,0.04,0.09,Matches
Carlos Eduardo,br BRA,"FW,MF",27.0,17,8,871.0,9.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.5,1.5,1.2,2.7,19.0,22.0,57.0,0.0,0.21,0.21,0.0,0.21,0.15,0.13,0.28,0.15,0.28,Matches
Caio Vinícius,br BRA,"DF,MF",25.0,11,8,601.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.0,0.5,5.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
EDU,br BRA,DF,23.0,12,7,744.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.0,0.7,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Patric Calmon PK,br BRA,DF,29.0,11,7,540.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.7,0.8,17.0,24.0,37.0,0.0,0.17,0.17,0.0,0.17,0.02,0.11,0.13,0.02,0.13,Matches
Camutanga,br BRA,DF,30.0,5,5,449.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.2,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Bruno Uvini,br BRA,DF,32.0,6,5,428.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Jean Mota,br BRA,"MF,FW",30.0,16,4,416.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,1.3,3.0,28.0,19.0,0.22,0.0,0.22,0.22,0.22,0.11,0.17,0.29,0.11,0.29,Matches
Zeca,br BRA,DF,29.0,5,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.2,14.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches
Rodrigo Andrade,br BRA,"MF,FW",26.0,6,4,385.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,6.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,Matches
