Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
3,Internacional,38,19,12,7,51,29,22,69,1.82,28632,Nicolás López - 11,Marcelo Lomba,→ Copa Libertadores via league finish
4,Grêmio,38,18,12,8,48,27,21,66,1.74,22261,Everton Soares - 10,Paulo Victor Vidotti,→ Copa Libertadores via league finish
5,São Paulo,38,16,15,7,46,34,12,63,1.66,34321,Diego Souza - 12,Sidão,→ Copa Libertadores via league finish
6,Atlético Mineiro,38,17,8,13,56,43,13,59,1.55,18500,Ricardo Oliveira - 13,Victor Leandro Bagy,→ Copa Libertadores via league finish
7,Ath Paranaense,38,16,9,13,54,37,17,57,1.5,10917,Pablo - 12,Santos,
