Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Rogério Ceni,br BRA,GK,41.0,35,35,3150,35.0,,,0,0.0,,20,10,5,13,37.1,2,2,0,0,0.0,Matches
Denis,br BRA,GK,26.0,3,3,270,3.0,,,0,0.0,,0,0,3,0,0.0,2,2,0,0,0.0,Matches
Squad Total,,,27.2,38,38,3420,38.0,0.0,0.0,0,0.0,,20,10,8,13,34.2,4,4,0,0,0.0,
Opponent Total,,,26.4,38,38,3420,38.0,,,0,,,8,10,20,4,10.5,8,7,1,0,12.5,
