Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Nino Paraíba,br BRA,DF,29.0,35,3108.0,89.0,90.9,34.5,35,89.0,33.0,0,,1,1.0,30.0,57.0,-27.0,-0.78,-2.22,Matches
Vagner,br BRA,GK,25.0,33,2970.0,90.0,86.8,33.0,33,90.0,33.0,0,,4,1.18,34.0,48.0,-14.0,-0.42,1.18,Matches
Romário,br BRA,DF,22.0,31,2654.0,86.0,77.6,29.5,29,89.0,26.0,2,37.0,2,1.19,28.0,47.0,-19.0,-0.64,-0.29,Matches
Antonio Carlos,br BRA,DF,21.0,29,2609.0,90.0,76.3,29.0,29,90.0,28.0,0,,4,1.14,28.0,44.0,-16.0,-0.55,0.11,Matches
Eduardo Neto,br BRA,"DF,MF",26.0,28,2264.0,81.0,66.2,25.2,27,83.0,19.0,1,24.0,4,1.32,25.0,30.0,-5.0,-0.2,1.12,Matches
Emerson,br BRA,DF,31.0,26,2295.0,88.0,67.1,25.5,26,88.0,25.0,0,,8,1.19,25.0,38.0,-13.0,-0.51,0.21,Matches
Renan,br BRA,MF,17.0,21,1789.0,85.0,52.3,19.9,21,85.0,15.0,0,,1,0.95,17.0,30.0,-13.0,-0.65,-0.16,Matches
Anderson Lopes,br BRA,"FW,MF",21.0,26,1807.0,70.0,52.8,20.1,19,86.0,14.0,7,26.0,1,1.23,24.0,32.0,-8.0,-0.4,0.38,Matches
Jeci,br BRA,DF,34.0,19,1595.0,84.0,46.6,17.7,19,84.0,17.0,0,,9,1.0,19.0,35.0,-16.0,-0.9,-0.61,Matches
Pablo,br BRA,"DF,FW",25.0,27,1735.0,64.0,50.7,19.3,17,84.0,12.0,10,30.0,10,1.07,19.0,36.0,-17.0,-0.88,-0.61,Matches
Renan Oliveira,br BRA,"FW,MF",25.0,23,1456.0,63.0,42.6,16.2,17,77.0,10.0,6,24.0,8,1.39,14.0,23.0,-9.0,-0.56,0.04,Matches
Rômulo,br BRA,"FW,MF",19.0,29,1490.0,51.0,43.6,16.6,15,74.0,5.0,14,27.0,8,0.93,19.0,24.0,-5.0,-0.3,0.49,Matches
André Lima,br BRA,FW,29.0,25,1302.0,52.0,38.1,14.5,14,75.0,7.0,11,22.0,8,0.73,18.0,26.0,-8.0,-0.55,0.04,Matches
Adriano Bispo,br BRA,MF,27.0,16,1134.0,71.0,33.2,12.6,14,80.0,7.0,2,9.0,17,1.38,12.0,22.0,-10.0,-0.79,-0.32,Matches
Marquinhos,br BRA,MF,33.0,14,1053.0,75.0,30.8,11.7,13,80.0,6.0,1,18.0,0,1.43,12.0,16.0,-4.0,-0.34,0.34,Matches
Léo Gamalho,br BRA,FW,29.0,14,1019.0,73.0,29.8,11.3,12,82.0,9.0,2,20.0,4,1.14,13.0,20.0,-7.0,-0.62,-0.06,Matches
Tinga,br BRA,MF,24.0,19,1075.0,57.0,31.4,11.9,9,85.0,6.0,10,31.0,9,1.21,14.0,18.0,-4.0,-0.33,0.36,Matches
Everton Silva,br BRA,DF,26.0,16,783.0,49.0,22.9,8.7,9,67.0,2.0,7,25.0,16,1.56,8.0,8.0,0.0,0.0,0.75,Matches
Néstor Camacho,py PAR,"FW,MF",27.0,12,771.0,64.0,22.5,8.6,9,77.0,4.0,3,25.0,5,0.42,9.0,17.0,-8.0,-0.93,-0.46,Matches
Eltinho,br BRA,DF,27.0,8,580.0,73.0,17.0,6.4,7,81.0,5.0,1,13.0,18,0.63,5.0,11.0,-6.0,-0.93,-0.42,Matches
Jubal,br BRA,DF,21.0,6,540.0,90.0,15.8,6.0,6,90.0,6.0,0,,13,0.67,5.0,8.0,-3.0,-0.5,0.09,Matches
Claudinei,br BRA,MF,26.0,7,441.0,63.0,12.9,4.9,6,70.0,2.0,1,20.0,13,1.43,5.0,7.0,-2.0,-0.41,0.2,Matches
Diego,br BRA,GK,32.0,5,450.0,90.0,13.2,5.0,5,90.0,5.0,0,,29,0.6,4.0,12.0,-8.0,-1.6,-1.18,Matches
William,br BRA,"FW,MF",31.0,7,442.0,63.0,12.9,4.9,5,78.0,2.0,2,27.0,2,0.86,4.0,8.0,-4.0,-0.81,-0.27,Matches
Hugo,br BRA,FW,26.0,7,389.0,56.0,11.4,4.3,5,59.0,0.0,2,47.0,4,1.0,3.0,8.0,-5.0,-1.16,-0.65,Matches
Roberto César,br BRA,"FW,MF",29.0,19,689.0,36.0,20.1,7.7,4,75.0,1.0,15,26.0,12,1.11,9.0,15.0,-6.0,-0.78,-0.26,Matches
Rudnei da Rosa,br BRA,MF,30.0,6,241.0,40.0,7.0,2.7,4,50.0,0.0,2,20.0,10,2.17,4.0,5.0,-1.0,-0.37,0.22,Matches
Tauã,br BRA,FW,21.0,5,240.0,48.0,7.0,2.7,3,67.0,1.0,2,19.0,7,0.8,1.0,4.0,-3.0,-1.13,-0.59,Matches
Juninho,tl TLS,MF,25.0,4,151.0,38.0,4.4,1.7,2,57.0,0.0,2,19.0,9,0.0,1.0,3.0,-2.0,-1.19,-0.64,Matches
Denner,br BRA,MF,20.0,4,158.0,40.0,4.6,1.8,1,66.0,0.0,3,31.0,12,0.75,2.0,2.0,0.0,0.0,0.61,Matches
Lucas Lovat,br BRA,DF,18.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,6,3.0,3.0,0.0,3.0,3.0,3.68,Matches
Uelliton,br BRA,MF,27.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,0,1.0,1.0,1.0,0.0,0.0,0.59,Matches
Marrone,br BRA,DF,22.0,2,52.0,26.0,1.5,0.6,1,43.0,0.0,1,9.0,7,1.5,1.0,2.0,-1.0,-1.73,-1.17,Matches
Conrado,br BRA,FW,23.0,3,71.0,24.0,2.1,0.8,0,,0.0,3,23.0,2,0.0,1.0,3.0,-2.0,-2.54,-2.0,Matches
Iury de Castilho,br BRA,"FW,MF",19.0,1,35.0,35.0,1.0,0.4,0,,0.0,1,34.0,3,0.0,0.0,2.0,-2.0,-5.14,-4.61,Matches
Eduardo Costa,br BRA,MF,32.0,1,11.0,11.0,0.3,0.1,0,,0.0,1,10.0,3,1.0,0.0,0.0,0.0,0.0,0.58,Matches
Philipe Maia,br BRA,DF,19.0,0,,,0.0,0.0,0,,0.0,0,,7,0.0,1.0,4.0,-3.0,,,Matches
Wilker Cruz,br BRA,FW,20.0,0,,,,,0,,0.0,0,,5,,,,,,,Matches
Kevin,br BRA,DF,17.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Bruno Mendes,br BRA,FW,20.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Vitor Prada,br BRA,GK,22.0,0,,,,,0,,0.0,0,,6,,,,,,,Matches
Raphinha,br BRA,"FW,MF",18.0,0,,,,,0,,0.0,0,,1,,,,,,,Matches
Toshiya Tojo,jp JPN,FW,22.0,0,,,,,0,,0.0,0,,10,,,,,,,Matches
Squad Total,,,26.1,38,3420.0,90.0,100.0,38.0,418,83.0,,112,26.0,300,1.11,38.0,60.0,-22.0,-0.58,,
Opponent Total,,,26.2,38,3420.0,90.0,100.0,38.0,418,83.0,,113,25.0,272,1.66,60.0,38.0,22.0,0.58,,
