Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2017-05-14,16:00,Série A,Matchweek 1,Sun,Home,D,0,0,Vitória,38,4666,Marquinhos,4-2-3-1,4-2-3-1,Felipe Gomes da Silva,Match Report,
2017-05-22,20:00,Série A,Matchweek 2,Mon,Away,L,0,2,São Paulo,45,12427,Marquinhos,4-2-3-1,4-3-2-1,Caio Max Augusto Vieira,Match Report,
2017-05-29,20:00,Série A,Matchweek 3,Mon,Away,L,0,2,Chapecoense,43,6188,Marquinhos,4-2-3-1,4-1-4-1,Marcelo de Lima Henrique,Match Report,
2017-06-04,11:00,Série A,Matchweek 4,Sun,Home,W,1,0,Sport Recife,35,4646,Marquinhos,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2017-06-07,19:30,Série A,Matchweek 5,Wed,Away,L,0,1,Atlético Mineiro,46,12648,Marquinhos,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2017-06-11,16:00,Série A,Matchweek 6,Sun,Home,D,1,1,Flamengo,39,13448,Marquinhos,4-2-3-1,4-2-3-1,Paulo Henrique Schleinch Vollkopf,Match Report,
2017-06-14,19:30,Série A,Matchweek 7,Wed,Away,L,1,3,Atl Goianiense,53,2572,Betão,4-1-4-1,4-2-3-1,Leandro Bizzio Marinho,Match Report,
2017-06-17,19:00,Série A,Matchweek 8,Sat,Away,L,0,1,Vasco da Gama,51,10993,Marquinhos,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,
2017-06-21,21:45,Série A,Matchweek 9,Wed,Home,L,0,3,Fluminense,49,5239,Marquinhos,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,
2017-06-26,20:00,Série A,Matchweek 10,Mon,Away,W,2,0,Botafogo (RJ),27,22819,Betão,4-2-3-1,4-1-4-1,Caio Max Augusto Vieira,Match Report,
2017-07-02,19:00,Série A,Matchweek 11,Sun,Home,D,0,0,Ponte Preta,44,5697,Betão,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2017-07-09,16:00,Série A,Matchweek 12,Sun,Away,W,2,0,Grêmio,27,27222,Betão,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2017-07-13,21:00,Série A,Matchweek 13,Thu,Home,L,1,4,Coritiba,64,6552,Marquinhos,4-2-3-1,4-3-3,Raphael Claus,Match Report,
2017-07-16,19:00,Série A,Matchweek 14,Sun,Away,D,1,1,Bahia,33,12389,Betão,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,
2017-07-19,21:00,Série A,Matchweek 15,Wed,Home,D,0,0,Corinthians,27,10671,Betão,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2017-07-23,16:00,Série A,Matchweek 16,Sun,Home,W,1,0,Cruzeiro,28,6590,Betão,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
